game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_made,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_UFL_2024_3_30_BHAM@ARL,2024-03-30,2024,1,UFL,BHAM,ARL,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_7_ARL@STL,2024-04-07,2024,2,UFL,ARL,STL,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_13_DC@ARL,2024-04-13,2024,3,UFL,DC,ARL,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_8_T425361G979250@T463723,2025-03-09,2025,1,NAL,Sioux City Bandits,Beaumont Renegades,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,0.0,0.0,,4.0
FOOTBALL_NAL_2025_5_10_T425360G979281@T425361,2025-05-11,2025,10,NAL,Omaha Beef,Sioux City Bandits,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_3_16_TVEGASKNIGHTHAWKSG20260316CMKJ@TGREENBAYBLIZZARD,2026-03-16,2026,1,IFL,Vegas Knight Hawks,Green Bay Blizzard,,,,,,,,,1.0,39.0,39.0,0.0,39.0,7.7,9.0,0.0,23.0,3.0,,,,,,,,,
FOOTBALL_IFL_2026_3_21_TFISHERSFREIGHTG20260321YQ5B@TGREENBAYBLIZZARD,2026-03-21,2026,2,IFL,Fishers Freight,Green Bay Blizzard,0.0,,,,,,,,1.0,8.0,8.0,0.0,8.0,11.5,23.0,1.0,46.0,4.0,-2.0,0.0,1.0,0.0,-2.0,,,1.0,1.0
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.5,10.0,0.0,15.0,2.0,,,,,,,,1.0,1.0
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,0.0,,,,,,,,,,,,,14.7,25.0,1.0,44.0,3.0,,,,,,,,1.0,1.0
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,1.0,,,,,,,,5.0,14.6,44.0,1.0,73.0,13.3,28.0,1.0,53.0,4.0,,,,,,,,0.0,1.0
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,0.0,,,,,,,,1.0,10.0,10.0,0.0,10.0,12.2,23.0,1.0,73.0,6.0,,,,,,,,1.0,1.0
FOOTBALL_IFL_2026_5_8_TQUADCITYSTEAMWHEELERSG202605081QHL@TGREENBAYBLIZZARD,2026-05-08,2026,9,IFL,Quad City Steamwheelers,Green Bay Blizzard,,,,,,,,,2.0,8.5,11.0,0.0,17.0,7.5,12.0,0.0,15.0,2.0,,,,,,,,,
FOOTBALL_IFL_2026_5_16_TGREENBAYBLIZZARDG202605163ZVX@TTULSAOILERS,2026-05-16,2026,10,IFL,Green Bay Blizzard,Tulsa Oilers,,,,,,,,,2.0,19.5,24.0,0.0,39.0,5.0,5.0,0.0,5.0,1.0,,,,,,,,,
