game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,,,,4.0,,6.0,257.0,21.0,1468.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,8.0,,,,7.0,1.0,77.0,128.0,9.0,926.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,12.0,1.0,1.0,3.0,19.0,1.0,214.0,256.0,30.0,1576.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,4.0,,,,3.0,,41.0,12.0,1.0,114.0
