game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,5.0,1.0,2.0,5.0,5.0,,,,5.0,6.0,,16.0,,,
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,,,,,,,4.0,8.0,,19.0,,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,1.0,1.0,,,,,,7.0,5.0,,22.0,,,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,9.0,3.0,5.0,11.0,17.0,14.0,2.0,26.0,6.0,14.0,,42.0,,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,1.0,,,,,,5.0,6.0,,19.0,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,10.0,1.0,2.0,10.0,10.0,,,,5.0,21.0,1.0,40.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,13.0,1.0,2.0,,13.0,22.0,1.0,22.0,1.0,10.0,,10.0,,,
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,,,,,,,,2.0,,1.0,12.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,,2.0,,,,,,3.0,,,-1.0,,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,1.0,,,,,,6.0,5.0,,24.0,,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,20.0,3.0,4.0,19.0,30.0,36.0,2.0,64.0,4.0,6.0,,14.0,,,
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,-1.0,1.0,1.0,-1.0,-1.0,17.0,1.0,17.0,,,,,,,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,4.0,1.0,2.0,2.0,4.0,,,,4.0,2.0,,5.0,,,
