game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_GAMBLERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,,0.0,20.0,2.0,,
SYNTHETIC_USFL_2023_W3_GAMBLERS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,,,2.0,90.0,6.0,,
SYNTHETIC_USFL_2023_W5_GAMBLERS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,,,0.0,46.0,6.0,,
SYNTHETIC_USFL_2023_W8_GAMBLERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,,,0.0,40.0,3.0,,
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,,0.0,17.0,1.0,,
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,,0.0,44.0,6.0,,
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,,1.0,35.0,5.0,,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,,0.0,35.0,4.0,,
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,,0.0,93.0,11.0,,
22,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,,,0.0,59.0,6.0,,
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,,0.0,69.0,5.0,,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,2.0,0.0,73.0,4.0,,
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,1.0,,2.0,109.0,6.0,0.0,1.0
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,,0.0,70.0,8.0,0.0,7.0
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,1.0,40.0,5.0,,
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,2.0,110.0,8.0,,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,0.0,11.0,1.0,,
52,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,,0.0,22.0,5.0,,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,,0.0,30.0,3.0,,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,0.0,58.0,6.0,,
61,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,,0.0,68.0,9.0,,
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,1.0,1.0,38.0,6.0,,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,0.0,83.0,10.0,,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,0.0,19.0,2.0,0.0,-2.0
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,1.0,142.0,16.0,,
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,0.0,126.0,10.0,,
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,1.0,,0.0,22.0,4.0,,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,0.0,45.0,6.0,,
89,2026-03-28,2026,1,UFL,HOUSTON GAMBLERS,DALLAS RENEGADES,,,0.0,26.0,3.0,,
93,2026-04-05,2026,2,UFL,BIRMINGHAM STALLIONS,HOUSTON GAMBLERS,,,0.0,59.0,4.0,,
96,2026-04-11,2026,3,UFL,HOUSTON GAMBLERS,DC DEFENDERS,,,1.0,69.0,9.0,,
99,2026-04-16,2026,4,UFL,LOUISVILLE KINGS,HOUSTON GAMBLERS,,,0.0,44.0,4.0,,
105,2026-04-26,2026,5,UFL,COLUMBUS AVIATORS,HOUSTON GAMBLERS,,,0.0,19.0,2.0,,
108,2026-05-01,2026,6,UFL,HOUSTON GAMBLERS,COLUMBUS AVIATORS,,,0.0,20.0,3.0,,
114,2026-05-10,2026,7,UFL,ORLANDO STORM,HOUSTON GAMBLERS,,,0.0,33.0,3.0,,
117,2026-05-16,2026,8,UFL,HOUSTON GAMBLERS,ST. LOUIS BATTLEHAWKS,,,0.0,8.0,1.0,,
