game_id,date,season,week,league,away,home,extra_point,field_goal_yards,gp,missed
9889286,2023-06-11,2023,1,CFL,SSK,EDM,1.0,60.0,,
9889294,2023-06-25,2023,3,CFL,TOR,EDM,1.0,18.0,,
9889298,2023-07-06,2023,5,CFL,EDM,SSK,1.0,,,1.0
9889302,2023-07-13,2023,6,CFL,HAM,EDM,2.0,69.0,,
9889306,2023-07-20,2023,7,CFL,EDM,WPG,1.0,58.0,,
9889322,2023-08-17,2023,11,CFL,EDM,HAM,5.0,18.0,,
9889329,2023-08-27,2023,12,CFL,OTT,EDM,4.0,84.0,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,3.0,109.0,,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,4.0,56.0,,
9889343,2023-09-22,2023,16,CFL,BC,EDM,3.0,83.0,,1.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,1.0,28.0,,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,3.0,,,1.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,3.0,43.0,,
10798067,2024-09-02,2024,13,CFL,EDM,CGY,4.0,41.0,,
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,,1.0,
