game_id,date,season,week,league,away,home,games_played,goals,penalty_minutes,points
NLL_2019_SEASON_TOTAL,,,1,,,,2.0,,2.0,
NLL_2022_SEASON_TOTAL,,,1,,,,6.0,1.0,8.0,1.0
