game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_yards,receptions,rushing_tds,rushing_yards,tackles
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,,4.0,1.0,,17.0,1.0
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,,,1.0,24.0,4.0,,50.0,
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,VIPERS,SEA DRAGONS,,,,,,,103.0,
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SEA DRAGONS,BRAHMAS,0.0,0.0,,10.0,2.0,1.0,69.0,
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,1.0,,,,15.0,
15,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,,,,,,0.0,2.0,
17,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,,,,0.0,84.0,
24,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,,,,,,0.0,17.0,
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,,,,,0.0,25.0,
32,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,1.0,,,,,0.0,5.0,
34,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,,,,,2.0,30.0,
38,2024-06-01,2024,10,UFL,BATTLEHAWKS,BRAHMAS,,,1.0,,,1.0,43.0,
42,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,,,,,,0.0,2.0,
43,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,,,,0.0,11.0,
