game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,3.0,10.0,,,20.0,1.0,111.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,7.0,14.0,90.0,30.0,,99.0
