game_id,date,season,week,league,away,home,def_ff,def_int,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,,7.0,28.0,14.0,,1.0,134.0,20.0,1.0,91.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,,12.0,215.0,129.0,4.0,9.0,1599.0,62.0,6.0,211.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,1.0,12.0,12.0,5.0,2.0,,1.0,31.0,8.0,1.0,55.0
