game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W2_SOL,,2022,2,AUDL,,,4.0,0.0,,,,0.0,1.0,,,,,1.0,186.0,164.0
2022-06-17-ATX-CHI,2022-06-17,2022,4,,ATX,CHI,0.0,0.0,,,,1.0,1.0,,,,,0.0,81.0,84.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,3.0,1.0,,,,0.0,1.0,,,,,2.0,154.0,68.0
2022-06-25-DAL-ATX,2022-06-25,2022,5,,DAL,ATX,2.0,0.0,,,,0.0,1.0,,,,,0.0,49.0,100.0
2022-07-02-ATX-DAL,2022-07-02,2022,6,,ATX,DAL,2.0,0.0,,,,1.0,1.0,,,,,0.0,60.0,38.0
2022-07-09-ATL-ATX,2022-07-09,2022,7,AUDL,hustle,sol,4.0,1.0,,,,0.0,0.0,,,,,1.0,101.0,171.0
2022-07-16-DAL-ATX,2022-07-16,2022,8,AUDL,legion,sol,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-29-TB-ATX,2022-07-29,2022,10,AUDL,cannons,sol,0.0,0.0,,,,0.0,3.0,,,,,1.0,157.0,155.0
2023-04-29-ATX-HTX,2023-04-29,2023,1,AUDL,AUSTIN SOL,HOUSTON HAVOC,2.0,1.0,,7.0,7.0,,1.0,1.0,1.0,2.0,7.0,,82.0,67.0
2023-05-06-DAL-ATX,2023-05-06,2023,2,AUDL,DALLAS LEGION,AUSTIN SOL,3.0,1.0,,10.0,10.0,,2.0,,2.0,3.0,10.0,,93.0,125.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,AUDL,AUSTIN SOL,ATLANTA HUSTLE,,,,3.0,3.0,,1.0,,,2.0,4.0,,38.0,8.0
2023-05-13-ATX-CAR,2023-05-13,2023,3,AUDL,AUSTIN SOL,CAROLINA FLYERS,,,,,,,,,,,,1.0,,
2023-05-20-SD-ATX,2023-05-20,2023,4,AUDL,SAN DIEGO GROWLERS,AUSTIN SOL,,,,8.0,6.0,,2.0,,,3.0,6.0,,40.0,1.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,AUDL,AUSTIN SOL,DALLAS LEGION,3.0,1.0,,13.0,15.0,,1.0,,1.0,1.0,17.0,2.0,231.0,170.0
