game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,receiving_tds,receiving_yards,receptions
SYNTHETIC_UFL_2025_W1_PANTHERS,,2025,1,UFL,,,,,0.0,40.0,5.0
SYNTHETIC_UFL_2025_W2_PANTHERS,,2025,2,UFL,,,,,0.0,12.0,2.0
SYNTHETIC_UFL_2025_W3_PANTHERS,,2025,3,UFL,,,,,0.0,54.0,5.0
SYNTHETIC_UFL_2025_W4_PANTHERS,,2025,4,UFL,,,,,0.0,34.0,3.0
SYNTHETIC_UFL_2025_W5_PANTHERS,,2025,5,UFL,,,,,1.0,71.0,8.0
SYNTHETIC_UFL_2025_W6_PANTHERS,,2025,6,UFL,,,1.0,,1.0,34.0,4.0
SYNTHETIC_UFL_2025_W7_PANTHERS,,2025,7,UFL,,,,1.0,1.0,49.0,4.0
SYNTHETIC_UFL_2025_W8_PANTHERS,,2025,8,UFL,,,,,1.0,40.0,4.0
SYNTHETIC_UFL_2025_W9_PANTHERS,,2025,9,UFL,,,,,0.0,30.0,4.0
SYNTHETIC_UFL_2025_W10_PANTHERS,,2025,10,UFL,,,,,0.0,1.0,1.0
