game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals
NLL_2019_SEASON_TOTAL,,,1,,,,13.0,5.0,3.0,,16.0,,
NLL_2021_SEASON_TOTAL,,,1,,,,2.0,2.0,1.0,2.0,3.0,,
NLL_2022_SEASON_TOTAL,,,1,,,,10.0,12.0,7.0,,17.0,1.0,1.0
NLL_2023_SEASON_TOTAL,,,1,,,,5.0,6.0,2.0,2.0,7.0,,1.0
