game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_HAM,,,1,CFL,,,0.0,0.0,48.0,,,,0.0,4.0
SYNTHETIC_CFL_W4_HAM,,,4,CFL,,,,,,,,,0.0,20.0
SYNTHETIC_CFL_W6_HAM,2022-07-16,,6,CFL,OTT,HAM,1.0,0.0,27.0,,,,1.0,33.0
SYNTHETIC_CFL_W7_HAM,2022-07-21,,7,CFL,HAM,BC,0.0,0.0,0.0,0.0,9.0,1.0,0.0,4.0
SYNTHETIC_CFL_W8_HAM,2022-07-28,,8,CFL,MTL,HAM,0.0,0.0,44.0,,,,0.0,42.0
SYNTHETIC_CFL_W9_HAM,2022-08-06,,9,CFL,HAM,TOR,0.0,0.0,6.0,0.0,20.0,1.0,0.0,2.0
SYNTHETIC_CFL_W10_HAM,2022-08-12,,10,CFL,TOR,HAM,1.0,1.0,176.0,,,,0.0,15.0
SYNTHETIC_CFL_W11_HAM,2022-08-20,,11,CFL,HAM,MTL,0.0,2.0,303.0,0.0,8.0,1.0,0.0,2.0
SYNTHETIC_CFL_W20_HAM,2022-10-21,,20,CFL,OTT,HAM,0.0,0.0,43.0,,,,0.0,25.0
SYNTHETIC_CFL_2023_W1_HAM,2023-06-09,2023,1,CFL,HAM,WPG,1.0,0.0,0.0,,,,,
SYNTHETIC_CFL_2023_W2_HAM,2023-06-18,2023,2,CFL,HAM,TOR,,1.0,118.0,,,,,2.0
SYNTHETIC_CFL_2023_W3_HAM,2023-06-23,2023,3,CFL,MTL,HAM,2.0,0.0,345.0,,,,0.0,24.0
SYNTHETIC_CFL_2023_W5_HAM,2023-07-08,2023,5,CFL,OTT,HAM,1.0,1.0,233.0,,,,0.0,30.0
SYNTHETIC_CFL_2023_W6_HAM,2023-07-13,2023,6,CFL,HAM,EDM,0.0,0.0,184.0,,,,1.0,10.0
SYNTHETIC_CFL_2023_W17_HAM,2023-09-30,2023,17,CFL,CGY,HAM,1.0,2.0,225.0,,,,0.0,30.0
SYNTHETIC_CFL_2023_W18_HAM,2023-10-07,2023,18,CFL,HAM,SSK,1.0,2.0,271.0,,,,0.0,38.0
SYNTHETIC_CFL_2023_W19_HAM,2023-10-13,2023,19,CFL,BC,HAM,0.0,1.0,180.0,,,,0.0,26.0
SYNTHETIC_CFL_2025_W2_OTT,2025-06-13,2025,2,CFL,MTL,OTT,3.0,1.0,205.0,,,,,6.0
SYNTHETIC_CFL_2025_W21_OTT,2025-10-24,2025,21,CFL,OTT,HAM,4.0,,78.0,,,,1.0,25.0
