game_id,date,season,week,league,away,home,conversions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_2022_W1_HAM,,2022,1,CFL,,,,0.0,0.0,12.0,,
SYNTHETIC_CFL_2022_W2_HAM,,2022,2,CFL,,,,0.0,1.0,120.0,,
SYNTHETIC_CFL_2022_W3_HAM,,2022,3,CFL,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2022_W4_HAM,,2022,4,CFL,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2022_W5_HAM,,2022,5,CFL,,,,0.0,0.0,0.0,,
6233,2022-07-16,2022,6,CFL,OTT,HAM,,0.0,0.0,0.0,,
6235,2022-07-21,2022,7,CFL,HAM,BC,,0.0,0.0,0.0,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,,0.0,0.0,0.0,,
6244,2022-08-06,2022,9,CFL,HAM,TOR,,0.0,0.0,0.0,,
6247,2022-08-12,2022,10,CFL,TOR,HAM,,0.0,0.0,0.0,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,0.0,0.0,0.0,,
6255,2022-08-26,2022,12,CFL,HAM,TOR,,0.0,0.0,0.0,,
6260,2022-09-05,2022,13,CFL,TOR,HAM,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2022_W14_HAM,,2022,14,CFL,,,,0.0,0.0,0.0,,
6267,2022-09-17,2022,15,CFL,WPG,HAM,,0.0,0.0,0.0,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2022_W17_HAM,,2022,17,CFL,,,,1.0,2.0,225.0,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,,1.0,2.0,271.0,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,0.0,0.0,0.0,,
6284,2022-10-21,2022,20,CFL,OTT,HAM,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2022_W21_HAM,,2022,21,CFL,,,,0.0,0.0,0.0,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,2.0,1.0,197.0,,
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,1.0,273.0,,10.0
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,2.0,,345.0,,24.0
9889300,2023-07-08,2023,5,CFL,OTT,HAM,,1.0,1.0,233.0,,30.0
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,,1.0,231.0,1.0,10.0
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,1.0,,282.0,1.0,37.0
9889310,2023-07-28,2023,8,CFL,HAM,OTT,,5.0,2.0,353.0,,5.0
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,2.0,,202.0,,29.0
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,,218.0,,18.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,1.0,222.0,,12.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,1.0,3.0,296.0,,17.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,3.0,326.0,,30.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,1.0,1.0,236.0,,23.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,2.0,1.0,334.0,,19.0
