game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,1.0,1.0,34.0,10.0,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,2.0,1.0,15.0,12.0,1.0,34.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,4.0,8.0,14.0,12.0,6.0,181.0,2.0,16.0
