game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yds
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,,,,,,,5.0,1.0,4.0,5.0
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,1.0,32.0,3.0,,,,
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,0.0,,0.0,1.0,61.0,4.0,,,,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,,,,1.0,105.0,9.0,,,,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,0.0,,0.0,1.0,52.0,5.0,,,,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,,86.0,9.0,,,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,36.0,5.0,,,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,1.0,27.0,4.0,,,,
SYNTHETIC_XFL_2023_W7_BATTLEHAWKS,2023-04-02,2023,7,XFL,ROUGHNECKS,BATTLEHAWKS,0.0,,1.0,,,,,,,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,1.0,36.0,3.0,,,,
SYNTHETIC_XFL_2023_W8_BATTLEHAWKS,2023-04-08,2023,8,XFL,BATTLEHAWKS,VIPERS,,,1.0,,,,,,,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,2.0,164.0,9.0,,,,
SYNTHETIC_XFL_2023_W10_BATTLEHAWKS,2023-04-22,2023,10,XFL,BATTLEHAWKS,GUARDIANS,0.0,,2.0,,,,,,,
2,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,,,,0.0,23.0,2.0,,,,
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,,,,0.0,26.0,3.0,,,,
12,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,,,,1.0,87.0,6.0,,,,
13,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,,,0.0,61.0,8.0,,,,
19,2024-04-28,2024,5,UFL,DEFENDERS,BATTLEHAWKS,1.0,,,2.0,147.0,6.0,,,,
22,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,,,,2.0,134.0,6.0,,,,
26,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,,,,0.0,89.0,7.0,,,,
31,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,,,,0.0,39.0,3.0,,,,
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,,,,0.0,12.0,2.0,,,,
38,2024-06-01,2024,10,UFL,BATTLEHAWKS,BRAHMAS,,,,0.0,34.0,2.0,,,,
42,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,,,,0.0,59.0,6.0,,,,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,,0.0,0.0,0.0,,,,
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,,2.0,124.0,2.0,,,,
62,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,,,1.0,30.0,1.0,,,,
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,,0.0,6.0,1.0,,,,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,,0.0,36.0,3.0,,,,
72,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,,,,1.0,66.0,5.0,,,,
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,,0.0,38.0,1.0,,,,
94,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,,1.0,,0.0,56.0,4.0,,,,
98,2026-04-12,2026,3,UFL,BIRMINGHAM STALLIONS,ST. LOUIS BATTLEHAWKS,,,,1.0,146.0,4.0,,,,
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,,,1.0,109.0,2.0,,,,
104,2026-04-25,2026,5,UFL,ST. LOUIS BATTLEHAWKS,ORLANDO STORM,,,,0.0,47.0,3.0,,,,
107,2026-04-30,2026,6,UFL,ST. LOUIS BATTLEHAWKS,LOUISVILLE KINGS,,,,0.0,47.0,3.0,,,,
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,,,0.0,77.0,3.0,,,,
