game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,8.0,4.0,5.0,,19.0,22.0,3.0,-1.0,,-3.0,,,,
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,,,4.0,5.0,1.0,36.0,41.0,6.0,8.0,,25.0,1.0,6.0,,1.0
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,1.0,1.0,,10.0,8.0,8.0,1.0,24.0,30.0,9.0,11.0,,37.0,1.0,6.0,,1.0
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,,11.0,6.0,6.0,,34.0,37.0,12.0,33.0,,95.0,,,,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,,,,9.0,4.0,5.0,,22.0,22.0,21.0,16.0,1.0,117.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,,12.0,3.0,4.0,,13.0,26.0,3.0,2.0,,2.0,,,,
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,,,,11.0,4.0,6.0,,30.0,33.0,11.0,16.0,,40.0,,,,
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,,,1.0,21.0,6.0,7.0,1.0,49.0,54.0,5.0,6.0,,18.0,1.0,6.0,,1.0
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,,7.0,4.0,6.0,,15.0,16.0,15.0,15.0,,67.0,,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,,,,19.0,4.0,7.0,,47.0,49.0,14.0,12.0,,57.0,,,,
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,,,,29.0,7.0,7.0,,51.0,55.0,13.0,32.0,,97.0,,,,
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,,,,14.0,1.0,3.0,,12.0,14.0,12.0,11.0,,43.0,,,,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,2.0,2.0,,9.0,2.0,2.0,,14.0,14.0,15.0,24.0,,108.0,,,,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,,9.0,5.0,6.0,,19.0,20.0,9.0,10.0,,35.0,,,,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,,,,10.0,3.0,4.0,,17.0,19.0,12.0,,2.0,75.0,,12.0,2.0,2.0
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,,,,12.0,1.0,4.0,,12.0,12.0,12.0,24.0,,108.0,,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,,11.0,9.0,9.0,,44.0,46.0,6.0,14.0,,38.0,,,,
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,18.0,6.0,6.0,1.0,28.0,39.0,8.0,13.0,,50.0,1.0,6.0,,1.0
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,1.0,1.0,,4.0,3.0,5.0,,4.0,6.0,10.0,14.0,,39.0,,,,
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,8.0,2.0,6.0,,12.0,15.0,9.0,4.0,,21.0,,,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,,,20.0,3.0,4.0,,25.0,43.0,6.0,7.0,,19.0,,,,
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,,17.0,4.0,4.0,,26.0,28.0,7.0,15.0,,26.0,,,,
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,,10.0,4.0,4.0,,20.0,24.0,13.0,30.0,,96.0,,,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,,,,15.0,2.0,2.0,,30.0,30.0,18.0,18.0,,89.0,,,,
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,14.0,5.0,5.0,,8.0,29.0,6.0,7.0,,15.0,,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,,,,2.0,2.0,2.0,,2.0,2.0,5.0,12.0,,25.0,,,,
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,,24.0,5.0,7.0,,40.0,49.0,7.0,9.0,,27.0,,,,
