game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2022_SEASON_TOTAL,,,1,,,,31.0,18.0,33.0,9.0,64.0,6.0,10.0,2.0
NLL_2023_SEASON_TOTAL,,,1,,,,47.0,18.0,29.0,4.0,76.0,16.0,5.0,1.0
