game_id,date,season,week,league,away,home,assists,blocks,catches,completions,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,,1.0,8.0,9.0,1.0,1.0,4.0,10.0,1.0,-29.0,76.0
2023-05-12-POR-LA,2023-05-12,2023,3,,POR,LA,,,2.0,2.0,,,7.0,4.0,2.0,-5.0,23.0
2023-05-19-LA-SLC,2023-05-19,2023,4,,LA,SLC,,,2.0,1.0,,,5.0,2.0,1.0,-3.0,-5.0
2023-06-03-LA-SD,2023-06-03,2023,6,,LA,SD,,,,,,,3.0,1.0,1.0,,
2023-06-09-LA-POR,2023-06-09,2023,7,,LA,POR,1.0,1.0,4.0,2.0,1.0,,11.0,3.0,,10.0,21.0
2023-06-10-LA-SEA,2023-06-10,2023,7,,LA,SEA,,,,,,,,,1.0,,
2023-06-18-SEA-LA,2023-06-18,2023,8,,SEA,LA,,,4.0,4.0,1.0,,,4.0,,23.0,32.0
2023-06-24-SD-LA,2023-06-24,2023,9,,SD,LA,,,6.0,7.0,,,,7.0,,14.0,7.0
2023-06-30-SLC-LA,2023-06-30,2023,10,,SLC,LA,,,4.0,6.0,,,,7.0,,-12.0,21.0
2023-07-15-LA-OAK,2023-07-15,2023,12,,LA,OAK,,,,3.0,1.0,,1.0,4.0,1.0,,-4.0
2023-07-21-OAK-LA,2023-07-21,2023,13,,OAK,LA,,,1.0,1.0,,,,1.0,,-18.0,7.0
