game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_lg,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,1.0,1.0,,,,,,,,,,,17.0,8.0,9.0,,64.0,80.0,,,,12.0,21.0,,73.0,,,,,,
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,,,,,,,,,,,15.0,8.0,8.0,,30.0,41.0,,,,12.0,19.0,,98.0,,,,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,,,,,,,,,,13.0,5.0,5.0,1.0,48.0,50.0,,,,12.0,23.0,,66.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,,,,,,,,,,,11.0,4.0,5.0,,17.0,27.0,,,,11.0,22.0,1.0,61.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,,,,,,,,,,,,,51.0,3.0,3.0,,49.0,82.0,,,,10.0,8.0,,60.0,,,,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,,,,,,,,,,,12.0,6.0,6.0,,35.0,40.0,,,,13.0,17.0,,80.0,,,,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,,,,,,,,,,,40.0,5.0,6.0,,87.0,88.0,,,,9.0,6.0,,22.0,,,,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,,,,,,,,,,16.0,9.0,11.0,,80.0,87.0,,,,8.0,7.0,,13.0,,,,,,
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,,,,,,,,,,,,,12.0,4.0,6.0,,24.0,27.0,,,,10.0,9.0,,28.0,,,,,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,1.0,1.0,,,,,,,,,,,13.0,5.0,6.0,,38.0,38.0,,,,13.0,18.0,,63.0,,,,,,
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,,,,,,,,,,,,,8.0,1.0,2.0,,8.0,8.0,19.0,1.0,19.0,19.0,29.0,1.0,123.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,,,,,,,,,,,,,23.0,5.0,5.0,,34.0,61.0,,,,16.0,,1.0,70.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,,,,,,,,,,,,,3.0,2.0,2.0,,-2.0,-1.0,,,,18.0,11.0,1.0,49.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,,,,,,,,,,,6.0,3.0,4.0,,13.0,13.0,,,,6.0,8.0,,22.0,,,,,,
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,,,,,,,,,,,,,8.0,3.0,4.0,,14.0,17.0,,,,15.0,20.0,,80.0,,,,,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,,,,,,,,,,,,15.0,6.0,7.0,,13.0,33.0,,,,16.0,15.0,,52.0,,,,,,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,,,,,,,,,,,4.0,2.0,3.0,,4.0,4.0,,,,9.0,11.0,,32.0,,,,,,
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,,,,,,,,,,,,,6.0,4.0,7.0,,8.0,9.0,,,,8.0,24.0,,64.0,,,,,,
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,,,,,,,,,,,,,44.0,4.0,5.0,,48.0,65.0,,,,5.0,16.0,,26.0,,,,,,
FOOTBALL_CFL_2017_11_12_EDM@WPG,2017-11-12,2017,1,CFL,EDM,WPG,,,,,,,,,,,,,17.0,4.0,4.0,,38.0,43.0,,,,11.0,17.0,,77.0,,,,,,
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,,,,,,,,,,,,,13.0,5.0,6.0,,23.0,28.0,,,,8.0,17.0,,68.0,,,,,,
