game_id,date,season,week,league,away,home,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_attempts,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot,targets
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,,,,,,,2.0,1.0,1.0,2.0,2.0,14.0,,15.0,,60.0,,,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,,,,,,,,,,9.0,,22.0,,52.0,,,,,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,,,,,,,,,1.0,,,20.0,,38.0,2.0,127.0,,,12.0,2.0,2.0,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,,,,,,,,,,,,5.0,,5.0,,20.0,,,,,,
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,0.0,1.0,1.0,0.0,0.0,0.0,14.0,1.0,,,,,,,23.0,,,,2.0,58.0,,,,3.0
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,,,,,,0.0,50.0,6.0,,,,,,,19.0,,,,1.0,41.0,,,,7.0
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,,,,,,0.0,4.0,3.0,,,,,,,17.0,,,,3.0,46.0,,,,5.0
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,,,,,,0.0,37.0,5.0,,,,,,,8.0,,,,1.0,15.0,,,,8.0
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,,,,,,0.0,37.0,4.0,,,,,,,8.0,,,,1.0,21.0,,,,5.0
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,,,,,,1.0,44.0,7.0,,,,,,,16.0,,,,1.0,46.0,,,,12.0
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,,,,,0.0,25.0,3.0,,,,,,,16.0,,,,1.0,56.0,,,,6.0
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,0.0,1.0,1.0,0.0,0.0,0.0,-6.0,2.0,,,,,,,18.0,,,,1.0,83.0,,,,4.0
