game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,,,38.0,4.0,4.0,54.0,147.0
FOOTBALL_CFL_2016_11_5_MTL@HAM,2016-11-05,2016,1,CFL,MTL,HAM,,,2.0,,,,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,13.0,2.0,3.0,19.0,,,,,
