game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_2022_W1_MTL,,2022,1,CFL,,,1.0,,2.0,254.0,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,0.0,,2.0,290.0,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W5_MTL,,2022,5,CFL,,,0.0,,0.0,280.0,,
SYNTHETIC_CFL_2022_W6_MTL,2022-07-14,2022,6,CFL,EDM,MTL,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W7_MTL,2022-07-21,2022,7,CFL,MTL,OTT,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W8_MTL,2022-07-28,2022,8,CFL,MTL,HAM,1.0,,0.0,158.0,,
SYNTHETIC_CFL_2022_W9_MTL,2022-08-04,2022,9,CFL,WPG,MTL,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W10_MTL,2022-08-11,2022,10,CFL,MTL,WPG,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W11_MTL,2022-08-20,2022,11,CFL,HAM,MTL,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W12_MTL,,2022,12,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W13_MTL,2022-09-02,2022,13,CFL,OTT,MTL,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W14_MTL,2022-09-09,2022,14,CFL,BC,MTL,1.0,,1.0,292.0,,
SYNTHETIC_CFL_2022_W15_MTL,,2022,15,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W16_MTL,2022-09-23,2022,16,CFL,HAM,MTL,1.0,,1.0,252.0,,
SYNTHETIC_CFL_2022_W17_MTL,2022-10-01,2022,17,CFL,MTL,EDM,0.0,,1.0,178.0,,
SYNTHETIC_CFL_2022_W18_MTL,2022-10-10,2022,18,CFL,OTT,MTL,1.0,,1.0,272.0,,
SYNTHETIC_CFL_2022_W19_MTL,2022-10-14,2022,19,CFL,MTL,OTT,1.0,,1.0,258.0,,
SYNTHETIC_CFL_2022_W20_MTL,2022-10-22,2022,20,CFL,TOR,MTL,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2022_W21_MTL,,2022,21,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2023_W1_MTL,2023-06-10,2023,1,CFL,OTT,MTL,,1.0,,261.0,1.0,15.0
SYNTHETIC_CFL_2023_W3_MTL,2023-06-23,2023,3,CFL,MTL,HAM,,,2.0,292.0,1.0,11.0
SYNTHETIC_CFL_2023_W4_MTL,2023-07-01,2023,4,CFL,WPG,MTL,1.0,,,270.0,,40.0
SYNTHETIC_CFL_2023_W5_MTL,2023-07-09,2023,5,CFL,MTL,BC,,,,280.0,1.0,57.0
SYNTHETIC_CFL_2023_W6_MTL,2023-07-14,2023,6,CFL,TOR,MTL,2.0,,3.0,284.0,,14.0
SYNTHETIC_CFL_2023_W8_MTL,2023-07-30,2023,8,CFL,CGY,MTL,,,,158.0,,27.0
SYNTHETIC_CFL_2023_W9_MTL,2023-08-05,2023,9,CFL,MTL,HAM,2.0,,1.0,318.0,,15.0
SYNTHETIC_CFL_2023_W10_MTL,2023-08-11,2023,10,CFL,SSK,MTL,1.0,,1.0,149.0,2.0,66.0
SYNTHETIC_CFL_2023_W11_MTL,2023-08-19,2023,11,CFL,MTL,OTT,2.0,,2.0,333.0,1.0,49.0
SYNTHETIC_CFL_2023_W12_MTL,2023-08-24,2023,12,CFL,MTL,WPG,1.0,,,142.0,,-2.0
SYNTHETIC_CFL_2023_W13_MTL,2023-09-02,2023,13,CFL,BC,MTL,1.0,,1.0,337.0,,36.0
SYNTHETIC_CFL_2023_W14_MTL,2023-09-09,2023,14,CFL,MTL,TOR,,,1.0,286.0,,8.0
SYNTHETIC_CFL_2023_W15_MTL,2023-09-15,2023,15,CFL,TOR,MTL,1.0,,1.0,304.0,1.0,25.0
SYNTHETIC_CFL_2023_W16_MTL,2023-09-23,2023,16,CFL,MTL,CGY,1.0,,1.0,252.0,,11.0
SYNTHETIC_CFL_2023_W17_MTL,2023-09-30,2023,17,CFL,MTL,OTT,,,1.0,178.0,,23.0
SYNTHETIC_CFL_2023_W18_MTL,2023-10-09,2023,18,CFL,OTT,MTL,1.0,,1.0,295.0,1.0,41.0
SYNTHETIC_CFL_2023_W19_MTL,2023-10-14,2023,19,CFL,MTL,EDM,1.0,,1.0,258.0,,30.0
SYNTHETIC_CFL_2023_W21_MTL,2023-10-28,2023,21,CFL,HAM,MTL,,,1.0,136.0,,13.0
SYNTHETIC_CFL_2024_W1_MTL,2024-06-06,2024,1,CFL,MTL,WPG,1.0,,2.0,254.0,1.0,24.0
SYNTHETIC_CFL_2024_W2_MTL,2024-05-25,2024,2,CFL,TOR,MTL,0.0,,2.0,269.0,0.0,30.0
SYNTHETIC_CFL_2024_W3_MTL,2024-06-20,2024,3,CFL,OTT,MTL,0.0,,3.0,394.0,2.0,51.0
SYNTHETIC_CFL_2024_W4_MTL,2024-06-28,2024,4,CFL,MTL,TOR,1.0,,2.0,333.0,1.0,14.0
SYNTHETIC_CFL_2024_W5_MTL,2024-07-06,2024,5,CFL,CGY,MTL,2.0,,2.0,374.0,0.0,41.0
SYNTHETIC_CFL_2024_W6_MTL,2024-07-11,2024,6,CFL,TOR,MTL,2.0,,2.0,189.0,0.0,23.0
SYNTHETIC_CFL_2024_W7_MTL,,2024,7,CFL,,,0.0,,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W8_MTL,2024-07-25,2024,8,CFL,SSK,MTL,0.0,,2.0,269.0,0.0,17.0
SYNTHETIC_CFL_2024_W9_MTL,2024-08-02,2024,9,CFL,MTL,HAM,1.0,,2.0,301.0,1.0,26.0
SYNTHETIC_CFL_2024_W10_MTL,2024-08-10,2024,10,CFL,HAM,MTL,0.0,,2.0,247.0,0.0,27.0
SYNTHETIC_CFL_2024_W11_MTL,2024-08-16,2024,11,CFL,MTL,SSK,0.0,,1.0,285.0,1.0,33.0
SYNTHETIC_CFL_2024_W12_MTL,2024-08-25,2024,12,CFL,EDM,MTL,1.0,,2.0,336.0,0.0,8.0
SYNTHETIC_CFL_2024_W13_MTL,,2024,13,CFL,,,0.0,,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W14_MTL,2024-09-06,2024,14,CFL,BC,MTL,1.0,,1.0,240.0,0.0,34.0
SYNTHETIC_CFL_2024_W15_MTL,2024-09-14,2024,15,CFL,MTL,CGY,0.0,,0.0,204.0,1.0,20.0
SYNTHETIC_CFL_2024_W16_MTL,2024-09-21,2024,16,CFL,MTL,OTT,0.0,,0.0,226.0,1.0,29.0
SYNTHETIC_CFL_2024_W17_MTL,2024-09-28,2024,17,CFL,MTL,TOR,1.0,,2.0,225.0,0.0,22.0
SYNTHETIC_CFL_2024_W18_MTL,,2024,18,CFL,,,0.0,,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W19_MTL,2024-10-14,2024,19,CFL,OTT,MTL,1.0,,0.0,208.0,1.0,45.0
SYNTHETIC_CFL_2024_W20_MTL,2024-10-19,2024,20,CFL,MTL,BC,0.0,,0.0,134.0,0.0,44.0
SYNTHETIC_CFL_2024_W21_MTL,2024-10-26,2024,21,CFL,WPG,MTL,0.0,,1.0,271.0,1.0,10.0
