game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,13.0,54.0,2.0,738.0,,,
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,13.0,51.0,4.0,597.0,1.0,13.0,18.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,16.0,61.0,4.0,860.0,,,
