game_id,date,season,week,league,away,home,1pt_conversion,conversions,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_attempts,rushing_yards,score_p,score_pts,score_tot,targets
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,,,,,,47.0,3.0,,,,,,,1.0,5.0,,,,1.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,,,,6.0,2.0,,,,,,,1.0,7.0,,,,
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,,,,,,104.0,8.0,,,,,,,,,,,,6.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,,,,,,45.0,4.0,,,,,,,,,,,,3.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,,,,,1.0,95.0,4.0,,,,,,,,,,,,4.0
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,,,,,,17.0,2.0,2.0,,7.0,20.0,,,,,,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,,,,19.0,1.0,3.0,,2.0,19.0,,,,,,
FOOTBALL_CFL_2021_10_8_EDM@WPG,2021-10-08,2021,1,CFL,EDM,WPG,,,,,,,,9.0,3.0,8.0,,2.0,14.0,,,,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,,,,,30.0,5.0,6.0,2.0,35.0,98.0,,,2.0,12.0,2.0,
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,,,,,,,,30.0,3.0,4.0,,23.0,38.0,,,,,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,4.0,4.0,,,,4.0,2.0,6.0,1.0,4.0,7.0,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,,,,25.0,4.0,5.0,,16.0,75.0,,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,,,,,,,33.0,2.0,2.0,,13.0,40.0,,,,,,
FOOTBALL_CFL_2021_9_18_WPG@EDM,2021-09-18,2021,1,CFL,WPG,EDM,,,,,,,,18.0,2.0,4.0,,2.0,24.0,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,,,,,,,13.0,5.0,6.0,1.0,15.0,48.0,,,1.0,6.0,1.0,
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,,,49.0,3.0,,,,,,,,,,,,
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,0.0,0.0,,,1.0,31.0,3.0,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SEA DRAGONS,BRAHMAS,,,,,,34.0,6.0,,,,,,,,,,,,
