game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,10.0,,,11.0,17.0,,6.0,,27.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,6.0,,,5.0,5.0,,8.0,,11.0,,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,28.0,,,18.0,30.0,,42.0,,58.0,3.0,6.0,,
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,2.0,0.0,,0.0,,,,0.0,0.0
