game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,,,15.0,14.0,,,,15.0,,166.0,-12.0
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,1.0,1.0,18.0,16.0,3.0,4.0,,16.0,,261.0,49.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,,3.0,31.0,21.0,7.0,1.0,,23.0,2.0,284.0,13.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,2.0,46.0,38.0,9.0,2.0,,38.0,,382.0,3.0
2023-06-02-NY-BOS,2023-06-02,2023,6,,NY,BOS,,3.0,14.0,9.0,,,,9.0,,167.0,63.0
2023-06-03-NY-MTL,2023-06-03,2023,6,,NY,MTL,,,,,6.0,,,,,,
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,1.0,,24.0,18.0,4.0,,,19.0,1.0,355.0,-21.0
2023-06-16-BOS-NY,2023-06-16,2023,8,,BOS,NY,,1.0,13.0,11.0,2.0,1.0,,11.0,,226.0,-19.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,,2.0,20.0,20.0,1.0,2.0,1.0,20.0,,117.0,148.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,,,14.0,6.0,7.0,2.0,,7.0,,232.0,10.0
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,1.0,,,,,,,1.0,,
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,,,18.0,12.0,6.0,2.0,,12.0,,243.0,60.0
