game_id,date,season,week,league,away,home,fg_attempts,field_goal_long,field_goals_made,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs
FOOTBALL_IFL_2026_6_13_TQUADCITYSTEAMWHEELERSG20260613M6TV@TIOWABARNSTORMERS,2026-06-13,2026,14,IFL,Quad City Steamwheelers,Iowa Barnstormers,1.0,18.0,1.0,3.0,32.0,0.0,0.0,64.0,2.0
FOOTBALL_IFL_2026_6_20_TIOWABARNSTORMERSG20260620EY76@TFISHERSFREIGHT,2026-06-20,2026,15,IFL,Iowa Barnstormers,Fishers Freight,,,,,49.0,0.0,0.0,49.0,1.0
