game_id,date,season,week,league,away,home,assists,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202505210PHO,2025-05-21,2025,1,WNBA,LAS,PHO,1.0,1.0,,,,1.0,2.0,2.0,3.0,,1.0,,13.4,2.0,4.0,4.0,3.0,,
WNBA_202505230LAS,2025-05-23,2025,1,WNBA,GSV,LAS,1.0,,,,,,1.0,,,,,,11.25,2.0,-9.0,,2.0,1.0,2.0
WNBA_202505250LAS,2025-05-25,2025,1,WNBA,CHI,LAS,,4.0,,1.0,,0.333,3.0,1.0,2.0,,,,13.55,1.0,4.0,2.0,5.0,,1.0
WNBA_202505270LAS,2025-05-27,2025,1,WNBA,ATL,LAS,,1.0,,1.0,,0.667,3.0,2.0,,,,,6.583333333333333,,,4.0,1.0,,
WNBA_202505300LVA,2025-05-30,2025,1,WNBA,LAS,LVA,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,2.0,1.0,14.366666666666667,,-1.0,6.0,2.0,1.0,2.0
WNBA_202506060DAL,2025-06-06,2025,1,WNBA,LAS,DAL,,1.0,,,,,1.0,,1.0,,,,2.716666666666667,,-8.0,,1.0,,
WNBA_202506110LVA,2025-06-11,2025,1,WNBA,LAS,LVA,,1.0,,,,1.0,2.0,2.0,2.0,0.5,2.0,1.0,7.216666666666667,,9.0,5.0,1.0,,1.0
WNBA_202506140MIN,2025-06-14,2025,1,WNBA,LAS,MIN,,1.0,,1.0,,,3.0,,2.0,0.75,4.0,3.0,16.45,1.0,-8.0,3.0,2.0,,3.0
WNBA_202506170LAS,2025-06-17,2025,1,WNBA,SEA,LAS,1.0,,,1.0,,0.5,2.0,1.0,,1.0,4.0,4.0,10.2,,1.0,6.0,,,
WNBA_202506210MIN,2025-06-21,2025,1,WNBA,LAS,MIN,,1.0,,1.0,,0.333,3.0,1.0,,,,,9.4,1.0,11.0,2.0,2.0,,
WNBA_202506240CHI,2025-06-24,2025,1,WNBA,LAS,CHI,1.0,1.0,,,,,,,,,,,4.266666666666667,1.0,2.0,,2.0,,1.0
WNBA_202506260IND,2025-06-26,2025,1,WNBA,LAS,IND,,2.0,,,,0.5,2.0,1.0,1.0,1.0,2.0,2.0,10.5,2.0,-8.0,4.0,4.0,,1.0
WNBA_202507030DAL,2025-07-03,2025,1,WNBA,PHO,DAL,,,,,,,,,1.0,,,,4.016666666666667,,-8.0,,,,
WNBA_202507070PHO,2025-07-07,2025,1,WNBA,DAL,PHO,,2.0,,,,0.333,3.0,1.0,1.0,,,,12.0,2.0,-3.0,2.0,4.0,,
