game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202205150IND,2022-05-15,2022,1,WNBA,ATL,IND,,,2.0,0.5,2.0,1.0,1.0,,,,7.666666666666667,,-9.0,2.0,2.0,1.0,
WNBA_202205170IND,2022-05-17,2022,1,WNBA,ATL,IND,1.0,2.0,1.0,0.5,2.0,1.0,3.0,0.75,4.0,3.0,11.616666666666667,,-13.0,5.0,1.0,,
WNBA_202205200CON,2022-05-20,2022,1,WNBA,IND,CON,,,1.0,1.0,1.0,1.0,5.0,,,,13.233333333333333,,-12.0,2.0,1.0,,3.0
WNBA_202205220IND,2022-05-22,2022,1,WNBA,CON,IND,,,2.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,14.75,1.0,-6.0,6.0,3.0,,1.0
WNBA_202205240CHI,2022-05-24,2022,1,WNBA,IND,CHI,,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,2.0,10.333333333333334,,-9.0,4.0,1.0,,1.0
WNBA_202205270IND,2022-05-27,2022,1,WNBA,LAS,IND,1.0,,3.0,,,,3.0,1.0,4.0,4.0,8.233333333333333,2.0,10.0,4.0,5.0,,
WNBA_202205310IND,2022-05-31,2022,1,WNBA,WAS,IND,,,,,1.0,,,,,,0.6166666666666667,1.0,-2.0,,1.0,,
WNBA_202206050ATL,2022-06-05,2022,1,WNBA,IND,ATL,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,8.516666666666667,2.0,-7.0,5.0,2.0,1.0,
WNBA_202306270PHO,2023-06-27,2023,1,WNBA,DAL,PHO,,,,,,,,,,,1.8166666666666667,,-4.0,,,,
WNBA_202306290PHO,2023-06-29,2023,1,WNBA,IND,PHO,,,,1.0,1.0,1.0,1.0,,,,3.5,,-3.0,2.0,,1.0,
WNBA_202308060NYL,2023-08-06,2023,1,WNBA,LVA,NYL,,,2.0,1.0,1.0,1.0,,,,,7.15,1.0,-2.0,2.0,3.0,1.0,2.0
WNBA_202308080DAL,2023-08-08,2023,1,WNBA,LVA,DAL,,,1.0,0.5,2.0,1.0,6.0,0.5,2.0,1.0,6.266666666666667,,-13.0,3.0,1.0,,4.0
WNBA_202308110LVA,2023-08-11,2023,1,WNBA,WAS,LVA,,,1.0,1.0,1.0,1.0,,,,,2.6833333333333336,,7.0,2.0,1.0,,
WNBA_202308130LVA,2023-08-13,2023,1,WNBA,ATL,LVA,,,,,,,,,,,1.2666666666666666,,-1.0,,,,
WNBA_202308170LVA,2023-08-17,2023,1,WNBA,NYL,LVA,,,2.0,,,,1.0,,,,1.3166666666666667,,1.0,,2.0,,
WNBA_202308220ATL,2023-08-22,2023,1,WNBA,LVA,ATL,,,,1.0,1.0,1.0,,,,,1.75,,-3.0,2.0,,,
WNBA_202308260WAS,2023-08-26,2023,1,WNBA,LVA,WAS,,,,,,,,,2.0,,3.066666666666667,1.0,-4.0,,1.0,,
WNBA_202309020LVA,2023-09-02,2023,1,WNBA,SEA,LVA,,,2.0,,,,1.0,,,,2.4333333333333336,,3.0,,2.0,,
WNBA_202309080PHO,2023-09-08,2023,1,WNBA,LVA,PHO,,,,,,,1.0,,,,3.0,,-9.0,,,1.0,1.0
WNBA_202309100LVA,2023-09-10,2023,1,WNBA,PHO,LVA,,,,,,,,,,,0.8166666666666667,,-2.0,,,,
WNBA_202309130LVA,2023-09-13,2023,1,WNBA,CHI,LVA,,,2.0,1.0,1.0,1.0,,,,,3.466666666666667,,,2.0,2.0,1.0,
WNBA_202309170LVA,2023-09-17,2023,1,WNBA,CHI,LVA,,,,,,,1.0,,,,2.45,1.0,-2.0,,1.0,,1.0
WNBA_202309240LVA,2023-09-24,2023,1,WNBA,DAL,LVA,,,,,,,,,,,0.95,1.0,-3.0,,1.0,,
WNBA_202310080LVA,2023-10-08,2023,1,WNBA,NYL,LVA,,,1.0,,,,,,,,0.9666666666666667,,,,1.0,,
WNBA_202310110LVA,2023-10-11,2023,1,WNBA,NYL,LVA,,,,,,,,,,,1.5666666666666667,,5.0,,,,
WNBA_202310150NYL,2023-10-15,2023,1,WNBA,LVA,NYL,,,,,,,,,,,1.5166666666666666,,1.0,,,,
