game_id,date,season,week,league,away,home,lost_fumbles,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_TB,,,1,USFL,,,,,0.0,11.0,1.0,,
SYNTHETIC_USFL_W3_TB,,,3,USFL,,,0.0,,1.0,124.0,6.0,0.0,-9.0
SYNTHETIC_USFL_W4_TB,,,4,USFL,,,,,0.0,26.0,3.0,,
SYNTHETIC_USFL_W5_TB,,,5,USFL,,,,,1.0,52.0,2.0,,
SYNTHETIC_USFL_W6_TB,,,6,USFL,,,,,0.0,26.0,6.0,,
SYNTHETIC_USFL_W7_TB,,,7,USFL,,,0.0,,0.0,15.0,1.0,,
SYNTHETIC_USFL_W8_TB,,,8,USFL,,,,,1.0,9.0,2.0,,
SYNTHETIC_USFL_W9_TB,,,9,USFL,,,,,0.0,29.0,3.0,,
SYNTHETIC_USFL_W10_TB,,,10,USFL,,,,,1.0,94.0,4.0,,
SYNTHETIC_USFL_2023_W1_SHOWBOATS,,2023,1,USFL,,,,,0.0,15.0,2.0,0.0,4.0
SYNTHETIC_USFL_2023_W3_SHOWBOATS,,2023,3,USFL,,,,,0.0,34.0,3.0,,
SYNTHETIC_USFL_2023_W4_SHOWBOATS,,2023,4,USFL,,,,,0.0,23.0,4.0,,
SYNTHETIC_USFL_2023_W5_SHOWBOATS,,2023,5,USFL,,,,,0.0,13.0,1.0,,
SYNTHETIC_USFL_2023_W6_SHOWBOATS,,2023,6,USFL,,,,1.0,,61.0,3.0,,
SYNTHETIC_USFL_2023_W7_SHOWBOATS,,2023,7,USFL,,,,,1.0,72.0,2.0,0.0,11.0
SYNTHETIC_USFL_2023_W8_SHOWBOATS,,2023,8,USFL,,,,,0.0,33.0,3.0,,
SYNTHETIC_USFL_2023_W9_SHOWBOATS,,2023,9,USFL,,,,,0.0,51.0,5.0,,
SYNTHETIC_USFL_2023_W10_SHOWBOATS,,2023,10,USFL,,,,1.0,0.0,38.0,5.0,,
