game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,2.0,7.0,,45.0,11.0,11.0,306.0,1.0,40.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,2.0,,29.0,11.0,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,1.0,3.0,1.0,37.0,7.0,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,1.0,1.0,,28.0,10.0,,,,
