game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed
SYNTHETIC_USFL_2023_W1_BREAKERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,1.0,161.0,
SYNTHETIC_USFL_2023_W2_BREAKERS,2023-04-22,2023,2,USFL,BREAKERS,GAMBLERS,5.0,27.0,
SYNTHETIC_USFL_2023_W3_BREAKERS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,6.0,37.0,
SYNTHETIC_USFL_2023_W4_BREAKERS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,2.0,50.0,
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,1.0,27.0,
SYNTHETIC_USFL_2023_W6_BREAKERS,2023-05-21,2023,6,USFL,STARS,BREAKERS,1.0,44.0,1.0
SYNTHETIC_USFL_2023_W7_BREAKERS,2023-05-27,2023,7,USFL,BREAKERS,STALLIONS,,135.0,
SYNTHETIC_USFL_2023_W8_BREAKERS,2023-06-04,2023,8,USFL,BREAKERS,PANTHERS,3.0,19.0,
SYNTHETIC_USFL_2023_W9_BREAKERS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,4.0,43.0,
SYNTHETIC_USFL_2023_W10_BREAKERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,2.0,33.0,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,1.0,,
SYNTHETIC_UFL_2024_W1_SHOWBOATS,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,78.0,1.0
SYNTHETIC_UFL_2024_W2_SHOWBOATS,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,,102.0,
SYNTHETIC_UFL_2024_W3_SHOWBOATS,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,91.0,
SYNTHETIC_UFL_2024_W4_SHOWBOATS,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,28.0,
SYNTHETIC_UFL_2024_W6_SHOWBOATS,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,92.0,
SYNTHETIC_UFL_2024_W7_SHOWBOATS,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,54.0,
SYNTHETIC_UFL_2024_W8_SHOWBOATS,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,92.0,
SYNTHETIC_UFL_2024_W10_SHOWBOATS,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,75.0,
SYNTHETIC_UFL_2025_W1_SHOWBOATS,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,95.0,
SYNTHETIC_UFL_2025_W2_SHOWBOATS,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,55.0,1.0
SYNTHETIC_UFL_2025_W3_SHOWBOATS,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,32.0,
SYNTHETIC_UFL_2025_W4_SHOWBOATS,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,52.0,
SYNTHETIC_UFL_2025_W5_SHOWBOATS,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,69.0,1.0
SYNTHETIC_UFL_2025_W6_SHOWBOATS,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,69.0,
SYNTHETIC_UFL_2025_W7_SHOWBOATS,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,27.0,
SYNTHETIC_UFL_2025_W8_SHOWBOATS,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,72.0,
SYNTHETIC_UFL_2025_W9_SHOWBOATS,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,70.0,
SYNTHETIC_UFL_2025_W10_SHOWBOATS,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,25.0,
