game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105140LAS,2021-05-14,2021,1,WNBA,DAL,LAS,2.0,,2.0,,3.0,,0.25,8.0,2.0,4.0,,,,,19.416666666666668,,-16.0,4.0,2.0,,3.0
WNBA_202105210LVA,2021-05-21,2021,1,WNBA,LAS,LVA,1.0,,3.0,,1.0,,0.5,6.0,3.0,3.0,,,,,19.233333333333334,,-11.0,6.0,3.0,2.0,2.0
WNBA_202105280CHI,2021-05-28,2021,1,WNBA,LAS,CHI,6.0,,,1.0,1.0,1.0,0.5,6.0,3.0,,0.857,7.0,6.0,,25.733333333333334,,10.0,13.0,,3.0,2.0
WNBA_202105300CHI,2021-05-30,2021,1,WNBA,LAS,CHI,7.0,,,,1.0,,0.316,19.0,6.0,4.0,0.833,6.0,5.0,,34.833333333333336,,12.0,17.0,,3.0,5.0
WNBA_202106010DAL,2021-06-01,2021,1,WNBA,LAS,DAL,,,2.0,0.2,5.0,1.0,0.167,12.0,2.0,2.0,,,,,22.15,,-10.0,5.0,2.0,1.0,2.0
WNBA_202106030LAS,2021-06-03,2021,1,WNBA,IND,LAS,5.0,,1.0,0.75,4.0,3.0,0.556,9.0,5.0,3.0,1.0,1.0,1.0,,24.166666666666668,,17.0,14.0,1.0,2.0,2.0
WNBA_202106050LAS,2021-06-05,2021,1,WNBA,CHI,LAS,5.0,,4.0,0.333,3.0,1.0,0.538,13.0,7.0,2.0,1.0,7.0,7.0,,34.416666666666664,1.0,10.0,22.0,5.0,,3.0
WNBA_202106100WAS,2021-06-10,2021,1,WNBA,LAS,WAS,4.0,,3.0,0.5,4.0,2.0,0.3,10.0,3.0,1.0,,,,,25.666666666666668,,-22.0,8.0,3.0,1.0,1.0
WNBA_202106120MIN,2021-06-12,2021,1,WNBA,LAS,MIN,2.0,,1.0,,,,0.333,9.0,3.0,,0.75,4.0,3.0,,21.8,1.0,-4.0,9.0,2.0,,1.0
WNBA_202106160LAS,2021-06-16,2021,1,WNBA,PHO,LAS,10.0,2.0,3.0,0.5,2.0,1.0,0.471,17.0,8.0,4.0,1.0,1.0,1.0,,30.683333333333334,2.0,,18.0,5.0,,1.0
WNBA_202106180LAS,2021-06-18,2021,1,WNBA,PHO,LAS,2.0,,3.0,,3.0,,0.357,14.0,5.0,3.0,0.778,9.0,7.0,,29.416666666666668,2.0,-14.0,17.0,5.0,,3.0
WNBA_202106200LAS,2021-06-20,2021,1,WNBA,NYL,LAS,10.0,,5.0,,1.0,,0.6,15.0,9.0,3.0,0.667,3.0,2.0,,31.216666666666665,1.0,-4.0,20.0,6.0,3.0,4.0
WNBA_202106240LAS,2021-06-24,2021,1,WNBA,WAS,LAS,3.0,,4.0,0.5,2.0,1.0,0.25,12.0,3.0,2.0,1.0,2.0,2.0,,27.9,,,9.0,4.0,1.0,2.0
WNBA_202106270PHO,2021-06-27,2021,1,WNBA,LAS,PHO,4.0,1.0,3.0,,4.0,,0.474,19.0,9.0,5.0,0.75,4.0,3.0,,32.15,,-19.0,21.0,3.0,2.0,1.0
WNBA_202106300LAS,2021-06-30,2021,1,WNBA,LVA,LAS,3.0,,1.0,0.6,5.0,3.0,0.385,13.0,5.0,,,,,,29.633333333333333,,-18.0,13.0,1.0,1.0,3.0
WNBA_202107020LAS,2021-07-02,2021,1,WNBA,LVA,LAS,5.0,,4.0,0.333,6.0,2.0,0.429,14.0,6.0,1.0,0.5,2.0,1.0,,34.2,,-12.0,15.0,4.0,1.0,3.0
WNBA_202107040LAS,2021-07-04,2021,1,WNBA,SEA,LAS,5.0,,3.0,0.333,3.0,1.0,0.353,17.0,6.0,3.0,1.0,6.0,6.0,,35.13333333333333,1.0,2.0,19.0,4.0,2.0,2.0
WNBA_202107070SEA,2021-07-07,2021,1,WNBA,LAS,SEA,3.0,,,1.0,1.0,1.0,0.615,13.0,8.0,3.0,1.0,5.0,5.0,,32.95,1.0,-17.0,22.0,1.0,1.0,3.0
WNBA_202107110LAS,2021-07-11,2021,1,WNBA,MIN,LAS,6.0,,2.0,,1.0,,0.429,14.0,6.0,2.0,1.0,2.0,2.0,,23.8,1.0,-8.0,14.0,3.0,2.0,3.0
