game_id,date,season,week,league,away,home,assist_tackles,def_ast,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,int_avg,int_long,int_tds,int_yards,interceptions_made,misc_td,score_fr,score_pts,score_tot,solo_tackles
FOOTBALL_AAF_2019_2_9_ATL@ORL,2019-02-09,2019,1,AAF,ATL,ORL,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,3.0
FOOTBALL_CFL_2019_2_17_ORL@SA,2019-02-17,2019,1,CFL,ORL,SA,,3.0,,,,2.0,5.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_2_23_MEM@ORL,2019-02-23,2019,1,CFL,MEM,ORL,,2.0,,,1.0,2.0,4.0,,12.0,,,,,,,,,,
FOOTBALL_CFL_2019_2_9_ATL@ORL,2019-02-09,2019,1,CFL,ATL,ORL,,2.0,,,1.0,3.0,5.0,,5.0,,,,,,,,,,
FOOTBALL_CFL_2019_3_23_ORL@ATL,2019-03-23,2019,1,CFL,ORL,ATL,,2.0,,,,1.0,3.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_2_ORL@SL,2019-03-02,2019,1,CFL,ORL,SL,,1.0,,,1.0,4.0,5.0,,1.0,,,,,,,,,,
FOOTBALL_CFL_2019_3_30_ORL@MEM,2019-03-30,2019,1,CFL,ORL,MEM,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,,,,,,,,,,
FOOTBALL_CFL_2019_3_9_ORL@BIR,2019-03-09,2019,1,CFL,ORL,BIR,,,,,1.0,2.0,2.0,,5.0,,,,,,,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,,1.0,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,,,,1.0,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,,,,,,1.0,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_9_SSK@MTL,2019-08-09,2019,1,CFL,SSK,MTL,,,,,,,,,,,,,,,1.0,1.0,6.0,1.0,
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,3.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0
FOOTBALL_AAF_2019_2_23_MEM@ORL,2019-02-23,2019,3,AAF,MEM,ORL,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0
FOOTBALL_AAF_2019_3_2_ORL@SL,2019-03-02,2019,4,AAF,ORL,SL,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4.0
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0
FOOTBALL_AAF_2019_3_23_ORL@ATL,2019-03-23,2019,7,AAF,ORL,ATL,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1.0
FOOTBALL_AAF_2019_3_30_ORL@MEM,2019-03-30,2019,8,AAF,ORL,MEM,1.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,1.0
