game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2021_SEASON_TOTAL,,,1,,,,15.0,,,16.0,25.0,,4.0,,40.0,,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,24.0,,,17.0,30.0,,6.0,,54.0,3.0,2.0,,,
NLL_2023_SEASON_TOTAL,,,1,,,,4.0,,,16.0,14.0,,8.0,,18.0,,1.0,2.0,,
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0
