game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,,,0.0,1.0,1.0,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,,,0.0,33.0,3.0,,
10798044,2024-07-25,2024,8,CFL,SSK,MTL,0.0,0.0,0.0,0.0,60.0,5.0,,
10798050,2024-08-03,2024,9,CFL,EDM,SSK,,,,0.0,72.0,6.0,,
10798057,2024-08-16,2024,11,CFL,MTL,SSK,,,,1.0,90.0,5.0,,
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,,1.0,21.0,3.0,,
10798065,2024-09-01,2024,13,CFL,WPG,SSK,,,,1.0,84.0,8.0,,
10798070,2024-09-07,2024,14,CFL,SSK,WPG,,,,1.0,33.0,3.0,,
10798076,2024-09-20,2024,16,CFL,SSK,CGY,,,,0.0,90.0,6.0,,
10798081,2024-09-28,2024,17,CFL,OTT,SSK,,,,0.0,101.0,6.0,,
10798085,2024-10-05,2024,18,CFL,SSK,EDM,,,,1.0,103.0,5.0,,
10798088,2024-10-12,2024,19,CFL,BC,SSK,,,,0.0,58.0,5.0,,
11824045,2025-06-05,2025,1,CFL,OTT,SSK,,,,0.0,68.0,4.0,0.0,6.0
11824052,2025-06-14,2025,2,CFL,SSK,HAM,,,,1.0,124.0,8.0,,
11824054,2025-06-20,2025,3,CFL,SSK,TOR,,,,0.0,43.0,4.0,,
11824059,2025-06-28,2025,4,CFL,BC,SSK,,,,0.0,53.0,4.0,,
11824065,2025-07-11,2025,6,CFL,CGY,SSK,,,,0.0,60.0,4.0,,
11824070,2025-07-19,2025,7,CFL,SSK,BC,,,,0.0,77.0,6.0,,
11824073,2025-07-25,2025,8,CFL,EDM,SSK,,,,1.0,78.0,9.0,,
11824079,2025-08-02,2025,9,CFL,SSK,MTL,,,,1.0,62.0,4.0,,
11824086,2025-08-16,2025,11,CFL,HAM,SSK,,,,0.0,117.0,8.0,,
11824091,2025-08-23,2025,12,CFL,SSK,CGY,,,,0.0,112.0,4.0,,
11824092,2025-08-31,2025,13,CFL,WPG,SSK,,,,0.0,45.0,5.0,,
11824097,2025-09-06,2025,14,CFL,SSK,WPG,,,,0.0,69.0,6.0,,
11824102,2025-09-13,2025,15,CFL,MTL,SSK,,,,1.0,61.0,4.0,,
11824110,2025-09-27,2025,17,CFL,SSK,EDM,,,,0.0,119.0,8.0,,
11824111,2025-10-03,2025,18,CFL,SSK,OTT,,,,0.0,68.0,7.0,,
11824114,2025-10-10,2025,19,CFL,TOR,SSK,,,,0.0,3.0,1.0,,
