game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2025_3_14_T425358G979254@T425361,2025-03-15,2025,2,NAL,Idaho Horsemen,Sioux City Bandits,0.0,615.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,1.0,,,,,,,,,13.0,8.0,5.0,42.0,15.0,98.0,0.0,2.0,154.0,116.0,0.0,,,,,,3.0,10.0,3.0,0.0,0.0,10.0,0.0,0.0,,1.0
FOOTBALL_NAL_2025_5_4_T425361G981353@T425358,2025-05-04,2025,9,NAL,Sioux City Bandits,Idaho Horsemen,,800.0,,,,,,,,,,,,,0.0,,,,,,,,,5.0,4.0,1.0,45.0,21.0,158.0,0.0,2.0,400.0,83.0,0.0,,,,,,1.0,3.0,2.0,0.0,0.0,1.0,,,,
FOOTBALL_NAL_2025_5_10_T425360G979281@T425361,2025-05-11,2025,10,NAL,Omaha Beef,Sioux City Bandits,,550.0,,,,,,,,,,,,,2.0,,,,,,,,,20.0,11.0,9.0,20.0,11.0,73.0,0.0,3.0,150.0,122.0,0.0,,,,,,4.0,9.0,8.0,2.0,0.0,32.0,,,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,,438.0,,,,,2.0,0.0,0.0,0.0,,,,,1.0,,0.0,0.0,0.0,,,,,16.0,7.0,9.0,11.0,8.0,47.0,0.0,1.0,63.0,53.0,0.0,,,,,,5.0,7.0,5.0,0.0,0.0,23.0,,,,
FOOTBALL_IFL_2026_3_23_TNAZWRANGLERSG20260323WKQX@TSANDIEGOSTRIKEFORCE,2026-03-23,2026,2,IFL,NAZ Wranglers,San Diego Strike Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,0.0,1.0,,,,
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,9.0,23.0,-14.0,14.0,2.0,88.0,0.0,1.0,111.0,52.0,0.0,,,,,,8.0,10.0,4.0,0.0,0.0,31.0,,,,
FOOTBALL_IFL_2026_4_17_TQUADCITYSTEAMWHEELERSG20260417A5V1@TSANDIEGOSTRIKEFORCE,2026-04-17,2026,6,IFL,Quad City Steamwheelers,San Diego Strike Force,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,0.0,14.0,1.0,0.3,2.0,4.0,,1.0,1.0,,,1.0,1.0
FOOTBALL_IFL_2026_4_26_TTUCSONSUGARSKULLSG202604264V0I@TSANDIEGOSTRIKEFORCE,2026-04-26,2026,7,IFL,Tucson Sugar Skulls,San Diego Strike Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.0,3.0,,1.0,10.0,,,,
FOOTBALL_IFL_2026_5_2_TSANDIEGOSTRIKEFORCEG20260502S5MS@TTULSAOILERS,2026-05-02,2026,8,IFL,San Diego Strike Force,Tulsa Oilers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_16_TSANDIEGOSTRIKEFORCEG20260516XE81@TSANANTONIOGUNSLINGERS,2026-05-16,2026,10,IFL,San Diego Strike Force,San Antonio Gunslingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,25.0,0.0,49.0,5.0,3.7,15.0,11.0,,1.0,41.0,,,,
