game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_runouts,match_played
cricket-t20i-2023-08-05-1387948,2023-08-05,2023,1,T20I,Malta,Isle of Man,6.0,2.0,0.0,4.0,9.0,0.0,,1.0
cricket-t20i-2023-08-06-1387951,2023-08-06,2023,1,T20I,Greece,Isle of Man,,,,,,,1.0,1.0
