game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points
NLL_2022_SEASON_TOTAL,,,1,,,,4.0,17.0,,8.0,4.0
NLL_2023_SEASON_TOTAL,,,1,,,,3.0,17.0,2.0,46.0,5.0
