game_id,date,season,week,league,away,home,def_ff,def_fr,def_pd,def_sacks,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,1.0,,1.5,17.0,5.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,22.0,4.0,50.0,12.0,2.0,28.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,,,3.0,34.0,8.0,,
