game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,minutes,off_rebounds,plus_minus,points,rebounds,turnovers
WNBA_202105140LAS,2021-05-14,2021,1,WNBA,DAL,LAS,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.4,,5.0,3.0,,
WNBA_202105240NYL,2021-05-24,2021,1,WNBA,DAL,NYL,,,,,,,,1.0,,,5.4,,1.0,,,
WNBA_202105290DAL,2021-05-29,2021,1,WNBA,PHO,DAL,,,,,,,,,,,4.366666666666666,,1.0,,,
WNBA_202106010DAL,2021-06-01,2021,1,WNBA,LAS,DAL,,,1.0,,1.0,,,1.0,,,6.883333333333333,,-5.0,,1.0,
WNBA_202106040SEA,2021-06-04,2021,1,WNBA,DAL,SEA,,,,,,,,,,1.0,3.283333333333333,,-1.0,,,1.0
WNBA_202106060SEA,2021-06-06,2021,1,WNBA,DAL,SEA,,,,,1.0,,,1.0,,2.0,2.3666666666666667,,,,,
WNBA_202106110PHO,2021-06-11,2021,1,WNBA,DAL,PHO,,,,,,,,,,,1.2,,,,,
WNBA_202106190DAL,2021-06-19,2021,1,WNBA,MIN,DAL,,,,,,,,,,,1.35,,2.0,,,
WNBA_202106240IND,2021-06-24,2021,1,WNBA,DAL,IND,,1.0,,,2.0,,,2.0,,1.0,7.633333333333333,,4.0,,,
WNBA_202106260DAL,2021-06-26,2021,1,WNBA,WAS,DAL,,,,,,,,1.0,,,1.9666666666666668,,-5.0,,,
WNBA_202108150DAL,2021-08-15,2021,1,WNBA,CON,DAL,,,,,,,,,,,0.65,,,,,
WNBA_202109070DAL,2021-09-07,2021,1,WNBA,CON,DAL,1.0,,1.0,0.333,3.0,1.0,0.2,5.0,1.0,,17.483333333333334,,-1.0,3.0,1.0,1.0
WNBA_202109110DAL,2021-09-11,2021,1,WNBA,NYL,DAL,,,,,,,,,,,0.6333333333333333,,-2.0,,,
WNBA_202109130LVA,2021-09-13,2021,1,WNBA,DAL,LVA,,,,,2.0,,0.2,5.0,1.0,3.0,8.35,1.0,2.0,2.0,1.0,
WNBA_202109230CHI,2021-09-23,2021,1,WNBA,DAL,CHI,,,,,,,,,,,0.5666666666666667,,,,,
