game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,14.0,27.0,4.0,369.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,10.0,,,
