game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,18.0,5.0,,,,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,6.0,,,,8.0,3.0,119.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,6.0,12.0,3.0,2.0,14.0,4.0,,22.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,12.0,2.0,,21.0,1.0,,3.0
