game_id,date,season,week,league,away,home,assisted_tackles,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_td,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rush_td,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_UFL_2024_4_28_MICH@MEM,2024-04-28,2024,5,UFL,MICH,MEM,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_4_BHAM@MEM,2024-05-04,2024,6,UFL,BHAM,MEM,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_11_MEM@ARL,2024-05-11,2024,7,UFL,MEM,ARL,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,,0.0,0.0,0.0,0.0,,,,,,,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,,,,,,,,1.0,0.0,,1.0,,,,16.0,16.0,0.0,16.0,,,,,,,12.5,14.0,0.0,25.0,2.0,3.1,10.0,,15.0,3.0,46.0,,
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,,,,,,,,,,,3.0,,,,26.0,41.0,0.0,78.0,,,,,,,14.0,25.0,1.0,28.0,2.0,4.6,27.0,,13.0,3.0,60.0,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,,,,,,,,,,,3.0,,,,17.0,19.0,0.0,51.0,,,,,,,12.7,25.0,0.0,89.0,7.0,1.9,8.0,,9.0,1.0,17.0,,
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,,,,,,,,,,,2.0,,,,16.5,18.0,0.0,33.0,,,,,,,8.0,11.0,0.0,16.0,2.0,1.6,4.0,,9.0,1.0,14.0,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,,,,,,,,,,,2.0,,,,12.0,20.0,0.0,24.0,,,,,,,7.0,9.0,0.0,35.0,5.0,2.5,7.0,,8.0,0.0,20.0,,
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,,,,,,,,,,,,,,,,,,,,,,,,,6.7,11.0,0.0,40.0,6.0,3.5,9.0,,8.0,1.0,28.0,,
FOOTBALL_IFL_2026_5_22_TJACKSONVILLESHARKSG20260522TJEW@TIOWABARNSTORMERS,2026-05-22,2026,11,IFL,Jacksonville Sharks,Iowa Barnstormers,,,,,,,,,,,1.0,,,,6.0,6.0,0.0,6.0,,,,,,,5.0,5.0,0.0,5.0,1.0,1.9,6.0,,15.0,3.0,29.0,,
FOOTBALL_IFL_2026_5_30_TFISHERSFREIGHTG20260530E67H@TJACKSONVILLESHARKS,2026-05-30,2026,12,IFL,Fishers Freight,Jacksonville Sharks,,,,,,,,,,,,,,,,,,,,,,,,,9.4,23.0,1.0,66.0,7.0,1.3,9.0,,8.0,1.0,10.0,,
FOOTBALL_IFL_2026_6_6_TSANANTONIOGUNSLINGERSG20260606MDZ0@TJACKSONVILLESHARKS,2026-06-06,2026,13,IFL,San Antonio Gunslingers,Jacksonville Sharks,,,,,,,,1.0,0.0,,3.0,,,,16.7,27.0,0.0,50.0,,,,,,,1.0,1.0,0.0,1.0,1.0,4.5,12.0,,15.0,1.0,68.0,,
FOOTBALL_IFL_2026_6_12_TJACKSONVILLESHARKSG20260612DROA@TGREENBAYBLIZZARD,2026-06-12,2026,14,IFL,Jacksonville Sharks,Green Bay Blizzard,,,,,,,,,,0.0,1.0,,,,7.0,7.0,0.0,7.0,1.0,0.0,0.0,,0.0,0.0,8.5,17.0,0.0,51.0,6.0,7.5,16.0,,8.0,0.0,60.0,,
FOOTBALL_IFL_2026_6_21_TJACKSONVILLESHARKSG202606212HO4@TORLANDOPIRATES,2026-06-21,2026,15,IFL,Jacksonville Sharks,Orlando Pirates,1.0,,,,,,,,,,,,,,,,,,,,,,,,11.3,21.0,0.0,45.0,4.0,2.2,8.0,,6.0,1.0,13.0,0.0,1.0
FOOTBALL_IFL_2026_6_28_TSANDIEGOSTRIKEFORCEG20260628FR6E@TJACKSONVILLESHARKS,2026-06-28,2026,16,IFL,San Diego Strike Force,Jacksonville Sharks,,,,,,,,,,,3.0,,,,30.0,38.0,0.0,90.0,,,,,,,6.0,8.0,0.0,18.0,3.0,2.6,5.0,,9.0,2.0,23.0,,
FOOTBALL_IFL_2026_7_11_TJACKSONVILLESHARKSG202607112P19@TTULSAOILERS,2026-07-11,2026,18,IFL,Jacksonville Sharks,Tulsa Oilers,,,,,,,,,,,4.0,,,,21.0,31.0,0.0,84.0,,,,,,,8.0,12.0,2.0,72.0,9.0,0.7,3.0,,7.0,1.0,5.0,,
FOOTBALL_IFL_2026_7_18_TIOWABARNSTORMERSG202607188NRO@TJACKSONVILLESHARKS,2026-07-18,2026,19,IFL,Iowa Barnstormers,Jacksonville Sharks,,,,,,,,,,,,,,,,,,,,,,,,,12.2,20.0,1.0,61.0,5.0,3.9,17.0,,12.0,4.0,47.0,,
FOOTBALL_IFL_2026_7_26_TGREENBAYBLIZZARDG20260726VLYQ@TJACKSONVILLESHARKS,2026-07-26,2026,20,IFL,Green Bay Blizzard,Jacksonville Sharks,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,4.0,1.0,1.5,11.0,,12.0,0.0,18.0,0.0,0.0
