game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W2_TOR,,,2,CFL,,,,,,,,,0.0,87.0
SYNTHETIC_CFL_W3_TOR,,,3,CFL,,,,,,,,,0.0,27.0
SYNTHETIC_CFL_W4_TOR,,,4,CFL,,,,,,,,,0.0,111.0
SYNTHETIC_CFL_W6_TOR,,,6,CFL,,,,,,0.0,25.0,3.0,0.0,39.0
SYNTHETIC_CFL_W7_TOR,,,7,CFL,,,,,,0.0,45.0,7.0,0.0,143.0
SYNTHETIC_CFL_W8_TOR,,,8,CFL,,,,,,0.0,48.0,5.0,0.0,17.0
SYNTHETIC_CFL_W9_TOR,,,9,CFL,,,,,,0.0,7.0,2.0,0.0,47.0
SYNTHETIC_CFL_W10_TOR,,,10,CFL,,,,,,0.0,0.0,0.0,0.0,19.0
SYNTHETIC_CFL_2023_W2_TOR,,2023,2,CFL,,,,,,,,,1.0,24.0
SYNTHETIC_CFL_2023_W3_TOR,,2023,3,CFL,,,,,,0.0,11.0,1.0,0.0,32.0
SYNTHETIC_CFL_2023_W4_TOR,,2023,4,CFL,,,0.0,0.0,0.0,0.0,13.0,1.0,0.0,9.0
SYNTHETIC_CFL_2023_W6_TOR,,2023,6,CFL,,,,,,0.0,10.0,2.0,0.0,21.0
SYNTHETIC_CFL_2023_W7_TOR,,2023,7,CFL,,,,,,,,,0.0,9.0
SYNTHETIC_CFL_2023_W8_TOR,,2023,8,CFL,,,,,,0.0,0.0,0.0,0.0,41.0
SYNTHETIC_CFL_2023_W9_TOR,,2023,9,CFL,,,,,,0.0,5.0,1.0,0.0,3.0
SYNTHETIC_CFL_2023_W10_TOR,,2023,10,CFL,,,,,,0.0,0.0,0.0,0.0,19.0
SYNTHETIC_CFL_2023_W12_TOR,,2023,12,CFL,,,,,,1.0,31.0,3.0,0.0,25.0
SYNTHETIC_CFL_2023_W13_TOR,,2023,13,CFL,,,,,,0.0,12.0,1.0,1.0,12.0
SYNTHETIC_CFL_2023_W14_TOR,,2023,14,CFL,,,,,,,,,0.0,21.0
SYNTHETIC_CFL_2023_W15_TOR,,2023,15,CFL,,,,,,0.0,4.0,1.0,0.0,13.0
