game_id,date,season,week,league,away,home,def_ff,def_sacks,def_tackles,events_played,gp,pdga_points,pdga_rating
DGPT_2019_SEASON_TOTAL,,2019,1,DGPT,,,,,,10.0,,1265.0,1870.0
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,1.5,6.0,,11.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,4.0,,10.0,,
