game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SWKANSAS-NASHVILLE,,,0,,,,,,,,,,0.0,11.0
SALINA-CORPUS,,,1,,,,,,,,,,1.0,6.0
STORM-FIREBIRDS,,,2,,,,,,,,,,0.0,9.0
STORM-LIGHTNING-0330,0330,,3,,STORM,LIGHTNING,,,,,,,1.0,37.0
SWKANSAS-OREGON-0412,0412,,3,,SWKANSAS,OREGON,0.0,0.0,5.0,0.0,10.0,1.0,0.0,8.0
SWKANSAS-NASHVILLE-0425,0425,,7,,SWKANSAS,NASHVILLE,,,,,,,0.0,0.0
SWKANSAS-BILLINGS-0503,0503,,8,,SWKANSAS,BILLINGS,,,,0.0,3.0,1.0,1.0,16.0
SALINA-KANSAS-0607,0607,,13,,SALINA,KANSAS,,,,0.0,4.0,1.0,0.0,4.0
SWKANSAS-SALINA-0615,0615,,14,,SWKANSAS,SALINA,,,,,,,0.0,2.0
SYNTHETIC_AF1_2025_W5_SWKANSAS,,2025,5,AF1,,,,,5.0,,10.0,1.0,,8.0
SYNTHETIC_AF1_2025_W6_SWKANSAS,,2025,6,AF1,,,,,,1.0,18.0,1.0,1.0,8.0
