game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105140MIN,2021-05-14,2021,1,WNBA,PHO,MIN,2.0,2.0,9.0,0.417,12.0,5.0,4.0,0.5,2.0,1.0,30.4,2.0,1.0,11.0,11.0,3.0,4.0
WNBA_202105180NYL,2021-05-18,2021,1,WNBA,MIN,NYL,1.0,,9.0,0.647,17.0,11.0,2.0,0.571,7.0,4.0,31.016666666666666,2.0,-6.0,26.0,11.0,,2.0
WNBA_202105200MIN,2021-05-20,2021,1,WNBA,SEA,MIN,,1.0,6.0,0.643,14.0,9.0,2.0,0.286,7.0,2.0,30.966666666666665,3.0,-13.0,20.0,9.0,2.0,3.0
WNBA_202105280SEA,2021-05-28,2021,1,WNBA,MIN,SEA,1.0,,5.0,0.75,8.0,6.0,2.0,0.75,4.0,3.0,19.6,1.0,-20.0,15.0,6.0,2.0,2.0
WNBA_202105300MIN,2021-05-30,2021,1,WNBA,CON,MIN,4.0,3.0,8.0,0.643,14.0,9.0,2.0,1.0,6.0,6.0,34.21666666666667,1.0,5.0,24.0,9.0,1.0,2.0
WNBA_202106040MIN,2021-06-04,2021,1,WNBA,ATL,MIN,2.0,1.0,11.0,0.5,8.0,4.0,3.0,,2.0,,32.233333333333334,,7.0,8.0,11.0,1.0,3.0
WNBA_202106060MIN,2021-06-06,2021,1,WNBA,ATL,MIN,2.0,,3.0,0.857,7.0,6.0,5.0,0.833,6.0,5.0,22.916666666666668,4.0,14.0,17.0,7.0,5.0,3.0
WNBA_202106080WAS,2021-06-08,2021,1,WNBA,MIN,WAS,2.0,1.0,4.0,0.667,6.0,4.0,4.0,0.875,8.0,7.0,30.75,1.0,-2.0,15.0,5.0,3.0,4.0
WNBA_202106120MIN,2021-06-12,2021,1,WNBA,LAS,MIN,1.0,4.0,7.0,0.833,6.0,5.0,3.0,0.833,6.0,5.0,27.4,2.0,-2.0,15.0,9.0,5.0,5.0
WNBA_202106150MIN,2021-06-15,2021,1,WNBA,CHI,MIN,1.0,1.0,6.0,0.583,12.0,7.0,4.0,,2.0,,29.65,3.0,-19.0,14.0,9.0,2.0,3.0
WNBA_202106170DAL,2021-06-17,2021,1,WNBA,MIN,DAL,2.0,1.0,10.0,0.7,10.0,7.0,3.0,,,,34.266666666666666,2.0,11.0,14.0,12.0,3.0,3.0
WNBA_202106190DAL,2021-06-19,2021,1,WNBA,MIN,DAL,1.0,2.0,6.0,0.5,6.0,3.0,1.0,0.5,4.0,2.0,26.516666666666666,1.0,-16.0,8.0,7.0,,1.0
WNBA_202106230ATL,2021-06-23,2021,1,WNBA,MIN,ATL,1.0,5.0,13.0,0.688,16.0,11.0,2.0,0.8,5.0,4.0,37.983333333333334,6.0,11.0,26.0,19.0,2.0,3.0
