game_id,date,season,week,league,away,home,assist_tackles,def_ast,def_sack,def_solo,def_tot,def_ydsl,int_avg,int_long,int_tds,int_yards,interceptions_made,solo_tackles
FOOTBALL_CFL_2019_2_17_ATL@SD,2019-02-17,2019,1,CFL,ATL,SD,,,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2019_3_17_BIR@SD,2019-03-17,2019,1,CFL,BIR,SD,,3.0,0.5,,3.0,4.5,,,,,,
FOOTBALL_CFL_2019_3_2_SD@MEM,2019-03-02,2019,1,CFL,SD,MEM,,,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2019_3_30_SD@SL,2019-03-30,2019,1,CFL,SD,SL,,,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2019_3_9_SL@SD,2019-03-09,2019,1,CFL,SL,SD,,1.0,,1.0,2.0,,,,,,,
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,2.0
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FOOTBALL_AAF_2019_3_30_SD@SL,2019-03-30,2019,8,AAF,SD,SL,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
