game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,1.0,,7.0,7.0,,,,7.0,,43.0,52.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,,,11.0,8.0,2.0,,,9.0,1.0,100.0,26.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,1.0,,19.0,18.0,,,1.0,19.0,,173.0,104.0
2023-05-20-DC-TOR,2023-05-20,2023,4,,DC,TOR,1.0,1.0,11.0,10.0,1.0,,,10.0,,84.0,49.0
2023-06-02-CAR-DC,2023-06-02,2023,6,,CAR,DC,1.0,,15.0,13.0,2.0,2.0,1.0,13.0,,120.0,126.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,2.0,,14.0,14.0,,1.0,2.0,14.0,,122.0,179.0
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,2.0,,19.0,17.0,2.0,1.0,,17.0,,181.0,146.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,3.0,1.0,19.0,18.0,,2.0,1.0,19.0,1.0,103.0,146.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,1.0,,12.0,11.0,1.0,,,11.0,,71.0,70.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,3.0,,15.0,13.0,2.0,1.0,,13.0,,200.0,69.0
