game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,11.0,3.0,,8.0,,10.0,19.0,12.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,1.0,7.0,25.0,6.0,30.0,10.0,46.0,4.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,1.0,,12.0,3.0,10.0,-4.0,10.0,8.0
