game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-28-SEA-SLC,2023-04-28,2023,1,,SEA,SLC,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,,58.0,92.0
2023-05-05-SLC-POR,2023-05-05,2023,2,,SLC,POR,,2.0,5.0,3.0,1.0,,,3.0,4.0,1.0,45.0,-29.0
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,1.0,2.0,8.0,7.0,1.0,,,6.0,7.0,,66.0,19.0
2023-05-19-LA-SLC,2023-05-19,2023,4,,LA,SLC,1.0,1.0,14.0,11.0,2.0,1.0,,1.0,13.0,2.0,281.0,63.0
2023-06-03-OAK-SLC,2023-06-03,2023,6,,OAK,SLC,,1.0,10.0,9.0,,2.0,,1.0,11.0,1.0,122.0,77.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,,1.0,6.0,5.0,1.0,1.0,1.0,6.0,6.0,1.0,44.0,19.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,,,7.0,6.0,1.0,1.0,,15.0,6.0,,88.0,19.0
2023-06-30-SLC-LA,2023-06-30,2023,10,,SLC,LA,,,24.0,25.0,1.0,,1.0,12.0,25.0,1.0,85.0,75.0
2023-07-01-SLC-SD,2023-07-01,2023,10,,SLC,SD,2.0,1.0,,,,,,,,,,
2023-07-07-POR-SLC,2023-07-07,2023,11,,POR,SLC,1.0,2.0,14.0,14.0,2.0,,,4.0,14.0,,117.0,69.0
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,,3.0,3.0,,,,5.0,3.0,,-9.0,9.0
