game_id,date,season,week,league,away,home,completion_pct,field_goal_attempts,field_goal_long,field_goal_pct,field_goals_made,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,points,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rushing_yards,total_yards,xp_attempts,xp_made,xp_pct,yards_per_game
FOOTBALL_NAL_2021_orlando-predators_SEASON_TOTAL,2021-12-31,,0,,,ORLANDO PREDATORS,100.0,1.0,0.0,0.0,0.0,36.0,0.0,15.0,0.0,0.0,15.0,15.0,1.0,1.0,17.0,17.0,242.8,0.0,17.0,2.1,0.0,0.0,0.0,8.0,9.6,30.0,,,6.0,288.0,36.0,30.0,3.8,7.0,303.0,1.0,0.0,0.0,37.9
FOOTBALL_AF1_2026_5_9_T584638G1168218@T584637,2026-05-09,2026,5,AF1,Oregon Lightning,Nashville Kats,,,,,,,,,,,,,,,,,,,,,,,,,10.0,15.0,0.0,0.0,1.0,29.0,,3.0,,,,,,,
