game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,,2.0,,,,,,,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,2.0,12.0,,,,,4.0,27.0,31.0,,129.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,6.0,11.0,1.0,7.0,,,3.0,25.0,46.0,2.0,169.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,7.0,8.0,,,,,,,5.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,11.0,18.0,427.0,4.0,107.0,5.0,50.0,11.0,,23.0
