game_id,date,season,week,league,away,home,blocks,d_points,goals,o_points,plus_minus,touches
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,2.0,23.0,1.0,3.0,3.0,11.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,,12.0,,,,
