game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,4.0,,,4.0,,37.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,3.0,12.0,,,12.0,,133.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,2.0,6.0,,,6.0,,50.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,7.0,12.0,6.0,103.0,15.0,2.0,176.0,1.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,12.0,,,2.0,,10.0,1.0,7.0
