game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-uslc-2018-e7MzZbKMr0,,2018,1,USLC,,,0.0,-0.6088,17.1374,3.8009,0.0,-1.4625,0.0,10.0,1292.0,0.8218,550.0,0.1749,0.0318,0.0,18.0,5.0,0.6088,1.4625,-0.6346,2.0713,0.8215,0.9829
soccer-mls-2019-mKAqBBmqbg,,2019,1,MLS,,,1.0,0.1391,18.5592,3.9609,2.0,-0.2979,3.0,15.0,1365.0,0.8434,664.0,-0.7453,-0.1122,0.3662,29.0,10.0,0.8609,2.2979,0.0879,3.1588,0.8445,0.6159
soccer-usl1-2019-ljqE94Vqx0,,2019,1,USL1,,,0.0,-0.5374,23.3365,5.5475,0.0,-0.3299,0.0,6.0,389.0,0.888,241.0,10.7036,4.4413,0.0,2.0,0.0,0.5374,0.3299,-0.3299,0.8674,0.8436,0.1483
soccer-mls-2020-mKAqBBmqbg,,2020,1,MLS,,,0.0,-0.2639,17.1477,5.431,0.0,-0.1817,0.0,3.0,451.0,0.7651,166.0,-7.6904,-4.6328,0.0,3.0,0.0,0.2639,0.1817,-0.1817,0.4457,0.8114,0.1713
soccer-mls-2021-mKAqBBmqbg,,2021,1,MLS,,,0.0,-0.1915,18.4817,5.9598,0.0,-0.6336,0.0,4.0,1016.0,0.8264,386.0,4.1689,1.08,0.0,14.0,4.0,0.1915,0.6336,-0.0578,0.825,0.8156,0.4048
soccer-mls-2022-mKAqBBmqbg,,2022,1,MLS,,,3.0,1.5392,17.7267,4.5482,2.0,0.4471,5.0,9.0,1591.0,0.7894,679.0,-10.5761,-1.5576,0.7224,30.0,8.0,1.4608,1.5529,-0.4282,3.0137,0.805,1.1852
soccer-mls-2023-kRQabn8MKZ,,2023,1,MLS,,,1.0,-0.6307,17.2804,3.609,1.0,-0.1602,2.0,20.0,1845.0,0.8337,812.0,11.2113,1.3807,1.992,18.0,6.0,1.6307,1.1602,0.2578,2.7909,0.8199,1.1299
soccer-mls-2024-kRQabn8MKZ,,2024,1,MLS,,,0.0,-0.1266,17.2105,5.4639,0.0,-0.0296,0.0,1.0,78.0,0.6333,30.0,-3.4486,-11.4953,0.0,1.0,0.0,0.1266,0.0296,-0.0296,0.1563,0.7483,0.0426
soccer-mlsnp-2024-4JMAkpDqKg,,2024,1,MLSNP,,,0.0,-0.0548,17.0216,1.7851,0.0,-0.1371,0.0,2.0,96.0,0.9273,55.0,3.8801,7.0548,0.0,3.0,0.0,0.0548,0.1371,-0.1371,0.1918,0.8567,0.1302
soccer-mls-2025-EKXMeX3Q64,,2025,1,MLS,,,1.0,0.3221,17.9944,2.1934,0.0,-0.6873,1.0,10.0,2238.0,0.8703,933.0,23.0065,2.4659,0.0,15.0,3.0,0.6779,0.6873,0.0288,1.3652,0.8457,0.2853
soccer-mls-2026-EKXMeX3Q64,,2026,1,MLS,,,0.0,-0.1053,17.4727,5.9942,0.0,-0.346,0.0,3.0,1012.0,0.7239,268.0,-9.6284,-3.5927,0.0,10.0,3.0,0.1053,0.346,0.0035,0.4513,0.7598,0.242
