game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,pass_defended,qb_hits,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_5_4_T425361G981353@T425358,2025-05-04,2025,9,NAL,Sioux City Bandits,Idaho Horsemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,,
FOOTBALL_IFL_2026_5_24_TARIZONARATTLERSG2026052419QZ@TVEGASKNIGHTHAWKS,2026-05-24,2026,,IFL,Arizona Rattlers,Vegas Knight Hawks,2.0,,,,,,,,,,,3.0,5.0,2.0,0.0
FOOTBALL_NAL_2026_3_7_T566773G1127137@T573852,2026-03-08,2026,1,NAL,Amarillo Warbirds,Louisiana Rouxgaroux,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,0.0,,
FOOTBALL_NAL_2026_3_13_T600414G1127142@T573852,2026-03-14,2026,2,NAL,Southwest Kansas Storm,Louisiana Rouxgaroux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,,
FOOTBALL_IFL_2026_3_29_TVEGASKNIGHTHAWKSG20260329KHXS@TTUCSONSUGARSKULLS,2026-03-29,2026,3,IFL,Vegas Knight Hawks,Tucson Sugar Skulls,1.0,,,,,,,1.0,2.0,,,5.0,6.0,,
FOOTBALL_NAL_2026_3_28_T573852G1127146@T566773,2026-03-28,2026,4,NAL,Louisiana Rouxgaroux,Amarillo Warbirds,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2026_4_11_T573852G1127153@T577047,2026-04-12,2026,6,NAL,Louisiana Rouxgaroux,Pueblo Punishers,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_4_18_T581933G1127158@T573852,2026-04-19,2026,7,NAL,Dallas Bulls,Louisiana Rouxgaroux,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,5.0,,
FOOTBALL_IFL_2026_5_3_TARIZONARATTLERSG202605032RVU@TVEGASKNIGHTHAWKS,2026-05-03,2026,8,IFL,Arizona Rattlers,Vegas Knight Hawks,4.0,,,,,,,,,,,3.0,7.0,1.0,0.0
FOOTBALL_NAL_2026_5_2_T600411G1127164@T573852,2026-05-03,2026,9,NAL,Salina Liberty,Louisiana Rouxgaroux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,,
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,2.0,,,,,,,,,,,1.0,3.0,,
FOOTBALL_NAL_2026_5_9_T573852G1127170@T566774,2026-05-09,2026,10,NAL,Louisiana Rouxgaroux,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,,
FOOTBALL_IFL_2026_5_31_TQUADCITYSTEAMWHEELERSG20260531JQPF@TVEGASKNIGHTHAWKS,2026-05-31,2026,12,IFL,Quad City Steamwheelers,Vegas Knight Hawks,2.0,,,,,,,1.0,,,,1.0,3.0,,
FOOTBALL_IFL_2026_6_7_TVEGASKNIGHTHAWKSG202606072NRX@TNAZWRANGLERS,2026-06-07,2026,13,IFL,Vegas Knight Hawks,NAZ Wranglers,1.0,,,,,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_6_19_TVEGASKNIGHTHAWKSG20260619D0ZS@TSANDIEGOSTRIKEFORCE,2026-06-19,2026,15,IFL,Vegas Knight Hawks,San Diego Strike Force,2.0,,,,,,,,,,,2.0,4.0,,
FOOTBALL_IFL_2026_7_5_TVEGASKNIGHTHAWKSG20260705XNDJ@TNEWMEXICOCHUPACABRAS,2026-07-05,2026,17,IFL,Vegas Knight Hawks,New Mexico Chupacabras,1.0,,,,,,,,,,,3.0,4.0,0.5,0.0
FOOTBALL_IFL_2026_7_12_TSANDIEGOSTRIKEFORCEG20260712LE28@TVEGASKNIGHTHAWKS,2026-07-12,2026,18,IFL,San Diego Strike Force,Vegas Knight Hawks,5.0,,,,,,,,,,,4.0,9.0,,
