game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202505210PHO,2025-05-21,2025,1,WNBA,LAS,PHO,,,1.0,,,,,,,1.0,,,,1.1333333333333333,,-2.0,,1.0,,
WNBA_202505300PHO,2025-05-30,2025,1,WNBA,MIN,PHO,1.0,,3.0,,,,,3.0,,3.0,0.5,2.0,1.0,7.966666666666667,2.0,-7.0,1.0,5.0,1.0,2.0
WNBA_202506010LAS,2025-06-01,2025,1,WNBA,PHO,LAS,,,1.0,,,,,1.0,,2.0,,,,6.083333333333333,,-10.0,,1.0,,
WNBA_202506030MIN,2025-06-03,2025,1,WNBA,PHO,MIN,1.0,,1.0,,1.0,,0.167,6.0,1.0,1.0,0.5,2.0,1.0,18.316666666666666,1.0,-12.0,3.0,2.0,1.0,1.0
WNBA_202506050PHO,2025-06-05,2025,1,WNBA,GSV,PHO,,,1.0,,,,0.667,6.0,4.0,3.0,,,,18.05,2.0,-4.0,8.0,3.0,,1.0
WNBA_202506070PHO,2025-06-07,2025,1,WNBA,SEA,PHO,3.0,,2.0,,,,0.75,4.0,3.0,3.0,0.333,3.0,1.0,17.133333333333333,3.0,10.0,7.0,5.0,1.0,1.0
WNBA_202506110PHO,2025-06-11,2025,1,WNBA,DAL,PHO,,1.0,2.0,1.0,1.0,1.0,0.5,6.0,3.0,2.0,,,,12.383333333333333,1.0,-1.0,7.0,3.0,,
WNBA_202506150LVA,2025-06-15,2025,1,WNBA,PHO,LVA,,,,,,,,1.0,,1.0,,,,6.55,1.0,1.0,,1.0,1.0,
WNBA_202506180CON,2025-06-18,2025,1,WNBA,PHO,CON,,,,,,,0.5,4.0,2.0,,,,,7.833333333333333,2.0,-3.0,4.0,2.0,,
WNBA_202506190NYL,2025-06-19,2025,1,WNBA,PHO,NYL,,,,,,,,1.0,,,1.0,2.0,2.0,8.133333333333333,2.0,-7.0,2.0,2.0,,
WNBA_202506210CHI,2025-06-21,2025,1,WNBA,PHO,CHI,2.0,1.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,14.7,3.0,-11.0,6.0,4.0,,2.0
WNBA_202506270PHO,2025-06-27,2025,1,WNBA,NYL,PHO,,,1.0,,,,1.0,1.0,1.0,,,,,3.45,1.0,-2.0,2.0,2.0,,
