game_id,date,season,week,league,away,home,field_goal_yards,missed
1-renegades-vipers,2023-02-18,2023,1,XFL,VIPERS,RENEGADES,96.0,
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,0.0,1.0
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,21.0,0.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,37.0,0.0
SYNTHETIC_XFL_2023_W5_RENEGADES,2023-03-19,2023,5,XFL,BRAHMAS,RENEGADES,68.0,0.0
SYNTHETIC_XFL_2023_W6_RENEGADES,2023-03-26,2023,6,XFL,RENEGADES,BRAHMAS,53.0,1.0
SYNTHETIC_XFL_2023_W7_RENEGADES,2023-03-31,2023,7,XFL,RENEGADES,SEA DRAGONS,36.0,0.0
SYNTHETIC_XFL_2023_W8_RENEGADES,2023-04-08,2023,8,XFL,GUARDIANS,RENEGADES,54.0,0.0
SYNTHETIC_XFL_2023_W9_RENEGADES,2023-04-16,2023,9,XFL,DEFENDERS,RENEGADES,50.0,1.0
SYNTHETIC_XFL_2023_W10_RENEGADES,2023-04-23,2023,10,XFL,RENEGADES,ROUGHNECKS,111.0,0.0
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,83.0,
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,52.0,1.0
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,86.0,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,31.0,
17,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,109.0,
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,87.0,
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,39.0,
32,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,33.0,
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,64.0,
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,103.0,
44,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,26.0,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,27.0,1.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,80.0,
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,128.0,
62,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,72.0,1.0
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,115.0,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,129.0,
73,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,67.0,1.0
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,108.0,
