game_id,date,season,week,league,away,home,assist_tackles,def_solo,def_tot,int_avg,int_long,int_tds,int_yards,interceptions_made,kick_returns,kr_long,kr_yards,pass_att,pass_cmp,pass_lg,pass_yds,pr_long,pr_yards,punt_returns,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,solo_tackles
FOOTBALL_AAF_2019_2_9_ATL@ORL,2019-02-09,2019,1,AAF,ATL,ORL,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,,,,,,,,,1.0,25.0,25.0,,,,,10.0,20.0,3.0,6.0,2.0,,,,,,,,,,,,,,,,
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,,,,,,,,,6.0,18.0,83.0,,,,,10.0,10.0,2.0,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,,,,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,,,12.0,,,,,,,,,,
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,,,,,,,,,,,,,,,,,,,,,37.0,5.0,10.0,,15.0,70.0,19.0,2.0,33.0,,,,,,,
FOOTBALL_CFL_2021_10_23_OTT@HAM,2021-10-23,2021,1,CFL,OTT,HAM,,1.0,1.0,,,,,,,,,,,,,,,,,,14.0,2.0,6.0,,13.0,16.0,22.0,1.0,22.0,1.0,-1.0,-1.0,,,,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,,,,,,,,,,,1.0,,,,,,,,,12.0,2.0,3.0,,1.0,19.0,4.0,1.0,4.0,,,,,,,
FOOTBALL_CFL_2021_10_6_OTT@TOR,2021-10-06,2021,1,CFL,OTT,TOR,,1.0,1.0,,,,,,,,,,,,,,,,,,24.0,8.0,13.0,,12.0,104.0,18.0,1.0,18.0,,,,,,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,,,,,,,,,,,,,,,,,,,,,8.0,3.0,7.0,,13.0,22.0,,,,,,,,,,
FOOTBALL_CFL_2021_11_6_TOR@OTT,2021-11-06,2021,1,CFL,TOR,OTT,,,,,,,,,,,,,,,,,,,,,13.0,2.0,3.0,,8.0,21.0,36.0,2.0,50.0,1.0,20.0,20.0,,,,
FOOTBALL_CFL_2021_8_21_OTT@SSK,2021-08-21,2021,1,CFL,OTT,SSK,,,,,,,,,,,,,,,,,,,,,9.0,4.0,5.0,,19.0,21.0,,,,1.0,-7.0,-7.0,,,,
FOOTBALL_CFL_2021_8_28_BC@OTT,2021-08-28,2021,1,CFL,BC,OTT,,,,,,,,,,,,,,,,,,,,,18.0,8.0,11.0,,14.0,70.0,,,,3.0,6.0,12.0,,,,
FOOTBALL_CFL_2021_8_7_OTT@EDM,2021-08-07,2021,1,CFL,OTT,EDM,,,,,,,,,,,,,,,,,,,,,15.0,6.0,7.0,,10.0,33.0,22.0,1.0,22.0,1.0,6.0,6.0,,,,
FOOTBALL_CFL_2021_9_11_OTT@BC,2021-09-11,2021,1,CFL,OTT,BC,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,1.0,16.0,65.0,30.0,8.0,168.0,1.0,11.0,11.0,1.0,6.0,1.0,
FOOTBALL_CFL_2021_9_22_HAM@OTT,2021-09-22,2021,1,CFL,HAM,OTT,,,,,,,,,,,,,,,,,,,,,26.0,2.0,3.0,,24.0,37.0,-1.0,2.0,-1.0,,,,,,,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,,,,,,,,,,,,1.0,1.0,37.0,37.0,,,,,,,5.0,8.0,1.0,30.0,67.0,12.0,1.0,12.0,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_9_3_MTL@OTT,2021-09-03,2021,1,CFL,MTL,OTT,,,,,,,,,,,,,,,,,,,,,18.0,2.0,2.0,,9.0,32.0,27.0,2.0,53.0,1.0,2.0,2.0,,,,
