game_id,date,season,week,league,away,home,fg3a,fga,fouls,minutes,off_rebounds,plus_minus,rebounds
WNBA_202408160DAL,2024-08-16,2024,1,WNBA,CON,DAL,,,,1.4666666666666668,,,
WNBA_202408200CON,2024-08-20,2024,1,WNBA,LAS,CON,,,,0.2,,,
WNBA_202408310WAS,2024-08-31,2024,1,WNBA,CON,WAS,,,1.0,1.2333333333333334,,-2.0,
WNBA_202409080LAS,2024-09-08,2024,1,WNBA,CON,LAS,,,,0.9166666666666666,,,
WNBA_202409100LAS,2024-09-10,2024,1,WNBA,CON,LAS,1.0,1.0,,2.6333333333333333,,-6.0,
WNBA_202409130PHO,2024-09-13,2024,1,WNBA,CON,PHO,1.0,1.0,,2.55,,-4.0,
WNBA_202409150LVA,2024-09-15,2024,1,WNBA,CON,LVA,,,,1.3,,,
WNBA_202409190CON,2024-09-19,2024,1,WNBA,CHI,CON,1.0,1.0,,4.266666666666667,,1.0,
WNBA_202409220CON,2024-09-22,2024,1,WNBA,IND,CON,,,,1.6666666666666665,,2.0,
WNBA_202410040CON,2024-10-04,2024,1,WNBA,MIN,CON,,,,0.3333333333333333,,,
WNBA_202410080MIN,2024-10-08,2024,1,WNBA,CON,MIN,,,,0.9,1.0,,1.0
