game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,2.0,1.0,10.0,11.0,,1.0,1.0,4.0,13.0,2.0,-10.0,164.0
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,,,4.0,2.0,1.0,,,,3.0,1.0,92.0,10.0
2023-05-13-ATX-CAR,2023-05-13,2023,3,,ATX,CAR,,,2.0,1.0,,,,7.0,1.0,,83.0,-4.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,,,4.0,1.0,1.0,,,3.0,2.0,1.0,37.0,10.0
2023-05-26-HTX-CAR,2023-05-26,2023,5,,HTX,CAR,1.0,1.0,8.0,5.0,2.0,,1.0,4.0,6.0,1.0,112.0,42.0
2023-06-09-CAR-DAL,2023-06-09,2023,7,,CAR,DAL,2.0,1.0,2.0,1.0,,,,4.0,1.0,,14.0,12.0
2023-06-10-CAR-ATX,2023-06-10,2023,7,,CAR,ATX,,,,,1.0,,,,,,,
2023-07-15-ATL-CAR,2023-07-15,2023,12,,ATL,CAR,,,3.0,1.0,1.0,,,5.0,1.0,,23.0,-9.0
2023-07-22-CAR-ATL,2023-07-22,2023,13,,CAR,ATL,,,15.0,16.0,,,,,17.0,,186.0,166.0
2023-07-25-DAL-CAR,2023-07-25,2023,13,,DAL,CAR,2.0,1.0,,,,1.0,2.0,9.0,,1.0,,
